location,latitude,longitude,score
Gwangyang,34.9434,127.6914,509.0
Yeonggwang,35.2837,126.4778,503.0
Uiryeong,35.3226,128.2881,503.0
Daejeon,36.372,127.3721,500.0
Andong,36.5729,128.7073,499.0
Hamyang,35.5114,127.7454,496.0
Jeonju,35.8215,127.155,493.0
Gwangju,35.1729,126.8916,493.0
Chupungnyeong,36.2203,127.9946,493.0
Chuncheon,37.9026,127.7357,491.0
Hongseong,36.6576,126.6877,491.0
Daegu,35.8852,128.619,490.0
Changwon,35.1702,128.5728,490.0
Wonju,37.3375,127.9466,487.0
Cheongsong,36.4351,129.0401,484.0
Cheongju,36.6392,127.4407,483.0
Daegwallyeong,37.6771,128.7183,482.0
Busan,35.1047,129.032,479.0
Mokpo,34.8173,126.3815,471.0
Bukchuncheon,37.9475,127.7547,468.0
Bukgangneung,37.8046,128.8554,468.0
Gangjin,34.6446,126.7841,467.0
Suwon,37.2723,126.9853,466.0
Incheon,37.4777,126.6249,466.0
Yeosu,34.7393,127.7406,461.0
Seoul,37.5714,126.9658,461.0
Gimhae,35.2298,128.8908,457.0
Gyeongju,35.8174,129.2009,452.0
Sunchang,35.3713,127.1286,451.0
Pohang,36.032,129.38,449.0
Jeju,33.5141,126.5297,446.0
Heuksando,34.6872,125.4511,445.0
Gochang,35.4266,126.697,441.0
Bukchangwon,35.2266,128.6726,441.0
Gosan,33.2938,126.1628,433.0
Boseong,34.7634,127.2123,428.0
Yangsan,35.3074,129.0201,411.0
Baengnyeongdo,37.974,124.7124,372.0
Ulleungdo,37.4813,130.8986,364.0
Cheorwon,38.1479,127.3042,323.0
