location,latitude,longitude,score,price,final score
Gangjin,34.6446,126.7841,467.0,13.0,107.77
Sunchang,35.3713,127.1286,451.0,13.0,104.08
Boseong,34.7634,127.2123,428.0,14.0,91.71
Yeonggwang,35.2837,126.4778,503.0,18.0,83.83
Gochang,35.4266,126.697,441.0,16.0,82.69
Cheongsong,36.4351,129.0401,484.0,21.0,69.14
Uiryeong,35.3226,128.2881,503.0,22.0,68.59
Hamyang,35.5114,127.7454,496.0,26.0,57.23
Hongseong,36.6576,126.6877,491.0,45.0,32.73
Cheorwon,38.1479,127.3042,323.0,30.0,32.3
Andong,36.5729,128.7073,499.0,62.0,24.15
Incheon,37.4777,126.6249,466.0,58.0,24.1
Gwangyang,34.9434,127.6914,509.0,71.0,21.51
Gyeongju,35.8174,129.2009,452.0,108.0,12.56
Yeosu,34.7393,127.7406,461.0,116.0,11.92
Wonju,37.3375,127.9466,487.0,146.0,10.01
Chuncheon,37.9026,127.7357,491.0,149.0,9.89
Jeju,33.5141,126.5297,446.0,137.0,9.77
Cheongju,36.6392,127.4407,483.0,163.0,8.89
Pohang,36.032,129.38,449.0,168.0,8.02
Gwangju,35.1729,126.8916,493.0,215.0,6.88
Jeju,33.5141,126.5297,446.0,223.0,6.0
Gimhae,35.2298,128.8908,457.0,239.0,5.74
Mokpo,34.8173,126.3815,471.0,251.0,5.63
Yangsan,35.3074,129.0201,411.0,245.0,5.03
Changwon,35.1702,128.5728,490.0,320.0,4.59
Gwangju,35.1729,126.8916,493.0,326.0,4.54
Busan,35.1047,129.032,479.0,323.0,4.45
Jeonju,35.8215,127.155,493.0,368.0,4.02
Daejeon,36.372,127.3721,500.0,464.0,3.23
Suwon,37.2723,126.9853,466.0,1268.0,1.1
Seoul,37.5714,126.9658,461.0,3934.0,0.35
