기준일자,위치,위도,경도,주소,장비명,모듈용량,인버터용량,가동일,시설용량(kw),평균 발전시간,최대 발전시간,전력량 합계, CO₂절감량 합계,소나무(30년생)
2019-01-01,갈산1동행정복지센터,37.517788,126.727173,인천광역시 부평구 주부토로 254,eKEN_HANWHA,12.0 ,12.0 ,2016-06-20,12.0 ,2.5 ,3.7 ,945.0 ,444.6 ,12.8 
2019-01-01,갈산도서관,37.517841,126.727367,인천광역시 부평구 갈산동 74-19,GESOL_STD,15.0 ,12.2 ,,12.0 ,2.5 ,3.7 ,935.0 ,439.9 ,12.7 
2019-01-01,부개1동행정복지센터,37.485088,126.737,인천광역시 부평구 부개1동 257-6,eKEN_HANWHA,10.2 ,10.2 ,,10.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-01-01,부개2동행정복지센터,37.4947778,126.7371188,인천광역시 부평구 동수천로 104,eKEN_HANWHA,23.0 ,23.0 ,2013-12-01,23.0 ,2.5 ,3.4 ,1763.0 ,829.5 ,24.0 
2019-01-01,부개도서관,37.490958,126.739488,인천광역시 부평구 부일로83번길 46,GESOL_STD,20.0 ,19.0 ,,19.0 ,2.9 ,4.2 ,1711.0 ,805.0 ,23.3 
2019-01-01,부평구의회,37.5067667,126.7218573,인천광역시 부평구 부평대로 168,GESOL_STD,31.5 ,31.5 ,2013-12-01,32.0 ,2.5 ,3.5 ,2438.0 ,1147.1 ,33.1 
2019-01-01,부평기후변화체험관,37.509436,126.730812,인천광역시 부평구 갈산동 403,GESOL_STD,36.5 ,36.0 ,2012-11-01,36.0 ,2.6 ,3.8 ,2871.0 ,1350.8 ,39.0 
2019-06-01,부개1동행정복지센터,37.485088,126.737,인천광역시 부평구 부개1동 257-6,eKEN_HANWHA,10.2 ,10.2 ,,10.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-01-01,부평아트센터,37.483406,126.70478,인천광역시 부평구 십정동 186-411,GESOL_STD,52.0 ,52.0 ,2012-11-01,52.0 ,0.7 ,2.9 ,1113.0 ,523.7 ,15.1 
2019-01-01,부평청소년수련원,37.508277,126.740225,인천광역시 부평구 삼산동 458-2,GESOL_STD,33.4 ,24.3 ,2010-12-01,24.0 ,1.4 ,1.7 ,1039.0 ,488.8 ,14.1 
2019-07-01,부개1동행정복지센터,37.485088,126.737,인천광역시 부평구 부개1동 257-6,eKEN_HANWHA,10.2 ,10.2 ,,10.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-08-01,부개1동행정복지센터,37.485088,126.737,인천광역시 부평구 부개1동 257-6,eKEN_HANWHA,10.2 ,10.2 ,,10.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-01-01,십정2동행정복지센터,37.473828,126.707834,인천광역시 부평구 십정2동 584,eKEN_HANWHA,12.4 ,12.4 ,,12.0 ,1.8 ,3.6 ,690.0 ,324.6 ,9.4 
2019-01-01,은광원,37.485381,126.736741,인천광역시 부평구 부개동 257,eKEN820N,35.0 ,35.0 ,2012-11-01,35.0 ,0.8 ,2.8 ,842.0 ,396.2 ,11.4 
2019-01-01,청천2동행정복지센터,37.514758,126.704482,인천광역시 부평구 청천2동 178-44,eKEN820N,21.6 ,21.6 ,2011-05-01,22.0 ,3.0 ,4.2 ,2011.0 ,946.2 ,27.3 
2019-02-01,갈산1동행정복지센터,37.517788,126.727173,인천광역시 부평구 주부토로 254,eKEN_HANWHA,12.0 ,12.0 ,2016-06-20,12.0 ,3.0 ,4.8 ,1023.0 ,481.3 ,13.9 
2019-02-01,갈산도서관,37.517841,126.727367,인천광역시 부평구 갈산동 74-19,GESOL_STD,15.0 ,12.2 ,,12.0 ,3.5 ,5.2 ,1196.0 ,562.7 ,16.3 
2019-02-01,부개1동행정복지센터,37.485088,126.737,인천광역시 부평구 부개1동 257-6,eKEN_HANWHA,10.2 ,10.2 ,,10.0 ,1.8 ,4.3 ,515.0 ,242.3 ,7.0 
2019-02-01,부개2동행정복지센터,37.4947778,126.7371188,인천광역시 부평구 동수천로 104,eKEN_HANWHA,23.0 ,23.0 ,2013-12-01,23.0 ,3.0 ,4.6 ,1946.0 ,915.6 ,26.4 
2019-02-01,부개도서관,37.490958,126.739488,인천광역시 부평구 부일로83번길 46,GESOL_STD,20.0 ,19.0 ,,19.0 ,3.5 ,5.1 ,1863.0 ,876.5 ,25.3 
2019-02-01,부평구의회,37.5067667,126.7218573,인천광역시 부평구 부평대로 168,GESOL_STD,31.5 ,31.5 ,2013-12-01,32.0 ,3.1 ,4.6 ,2712.0 ,1276.0 ,36.9 
2019-02-01,부평기후변화체험관,37.509436,126.730812,인천광역시 부평구 갈산동 403,GESOL_STD,36.5 ,36.0 ,2012-11-01,36.0 ,3.1 ,4.6 ,3117.0 ,1466.5 ,42.4 
2019-09-01,부개1동행정복지센터,37.485088,126.737,인천광역시 부평구 부개1동 257-6,eKEN_HANWHA,10.2 ,10.2 ,,10.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-02-01,부평아트센터,37.483406,126.70478,인천광역시 부평구 십정동 186-411,GESOL_STD,52.0 ,52.0 ,2012-11-01,52.0 ,2.7 ,3.9 ,3870.0 ,1820.8 ,52.6 
2019-02-01,부평청소년수련원,37.508277,126.740225,인천광역시 부평구 삼산동 458-2,GESOL_STD,33.4 ,24.3 ,2010-12-01,24.0 ,1.8 ,2.5 ,1203.0 ,566.0 ,16.3 
2019-12-01,부개1동행정복지센터,37.485088,126.737,인천광역시 부평구 부개1동 257-6,eKEN_HANWHA,10.2 ,10.2 ,,10.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-08-01,부평구의회,37.5067667,126.7218573,인천광역시 부평구 부평대로 168,GESOL_STD,31.5 ,31.5 ,2013-12-01,32.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-02-01,십정2동행정복지센터,37.473828,126.707834,인천광역시 부평구 십정2동 584,eKEN_HANWHA,12.4 ,12.4 ,,12.0 ,1.7 ,2.2 ,594.0 ,279.5 ,8.1 
2019-09-01,부평구의회,37.5067667,126.7218573,인천광역시 부평구 부평대로 168,GESOL_STD,31.5 ,31.5 ,2013-12-01,32.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-02-01,청천2동행정복지센터,37.514758,126.704482,인천광역시 부평구 청천2동 178-44,eKEN820N,21.6 ,21.6 ,2011-05-01,22.0 ,3.4 ,5.0 ,2069.0 ,973.5 ,28.1 
2019-03-01,갈산1동행정복지센터,37.517788,126.727173,인천광역시 부평구 주부토로 254,eKEN_HANWHA,12.0 ,12.0 ,2016-06-20,12.0 ,3.3 ,5.5 ,1221.0 ,574.5 ,16.6 
2019-03-01,갈산도서관,37.517841,126.727367,인천광역시 부평구 갈산동 74-19,GESOL_STD,15.0 ,12.2 ,,12.0 ,4.0 ,6.5 ,1500.0 ,705.7 ,20.4 
2019-03-01,부개1동행정복지센터,37.485088,126.737,인천광역시 부평구 부개1동 257-6,eKEN_HANWHA,10.2 ,10.2 ,,10.0 ,0.7 ,3.8 ,218.0 ,102.6 ,3.0 
2019-03-01,부개2동행정복지센터,37.4947778,126.7371188,인천광역시 부평구 동수천로 104,eKEN_HANWHA,23.0 ,23.0 ,2013-12-01,23.0 ,3.4 ,5.5 ,2407.0 ,1132.5 ,32.7 
2019-03-01,부개도서관,37.490958,126.739488,인천광역시 부평구 부일로83번길 46,GESOL_STD,20.0 ,19.0 ,,19.0 ,3.6 ,5.7 ,2153.0 ,1013.0 ,29.3 
2019-03-01,부평구의회,37.5067667,126.7218573,인천광역시 부평구 부평대로 168,GESOL_STD,31.5 ,31.5 ,2013-12-01,32.0 ,3.3 ,5.4 ,3229.0 ,1519.2 ,43.9 
2019-03-01,부평기후변화체험관,37.509436,126.730812,인천광역시 부평구 갈산동 403,GESOL_STD,36.5 ,36.0 ,2012-11-01,36.0 ,3.4 ,5.6 ,3752.0 ,1765.3 ,51.0 
2019-10-01,부평구의회,37.5067667,126.7218573,인천광역시 부평구 부평대로 168,GESOL_STD,31.5 ,31.5 ,2013-12-01,32.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-03-01,부평아트센터,37.483406,126.70478,인천광역시 부평구 십정동 186-411,GESOL_STD,52.0 ,52.0 ,2012-11-01,52.0 ,3.1 ,4.8 ,4920.0 ,2314.9 ,66.9 
2019-03-01,부평청소년수련원,37.508277,126.740225,인천광역시 부평구 삼산동 458-2,GESOL_STD,33.4 ,24.3 ,2010-12-01,24.0 ,2.1 ,3.4 ,1601.0 ,753.3 ,21.8 
2019-01-01,부평민방위교육장,37.511411,126.733308,인천광역시 부평구 삼산동 441-6,eKEN820N,43.2 ,43.2 ,2012-05-01,43.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-02-01,부평민방위교육장,37.511411,126.733308,인천광역시 부평구 삼산동 441-6,eKEN820N,43.2 ,43.2 ,2012-05-01,43.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-03-01,십정2동행정복지센터,37.473828,126.707834,인천광역시 부평구 십정2동 584,eKEN_HANWHA,12.4 ,12.4 ,,12.0 ,2.3 ,5.2 ,885.0 ,416.4 ,12.0 
2019-02-01,은광원,37.485381,126.736741,인천광역시 부평구 부개동 257,eKEN820N,35.0 ,35.0 ,2012-11-01,35.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-03-01,청천2동행정복지센터,37.514758,126.704482,인천광역시 부평구 청천2동 178-44,eKEN820N,21.6 ,21.6 ,2011-05-01,22.0 ,3.6 ,5.8 ,2409.0 ,1133.4 ,32.7 
2019-04-01,갈산1동행정복지센터,37.517788,126.727173,인천광역시 부평구 주부토로 254,eKEN_HANWHA,12.0 ,12.0 ,2016-06-20,12.0 ,3.6 ,5.9 ,1288.0 ,606.0 ,17.5 
2019-04-01,갈산도서관,37.517841,126.727367,인천광역시 부평구 갈산동 74-19,GESOL_STD,15.0 ,12.2 ,,12.0 ,4.3 ,6.4 ,1594.0 ,750.0 ,21.7 
2019-04-01,부개1동행정복지센터,37.485088,126.737,인천광역시 부평구 부개1동 257-6,eKEN_HANWHA,10.2 ,10.2 ,,10.0 ,2.0 ,5.8 ,600.0 ,282.3 ,8.2 
2019-04-01,부개2동행정복지센터,37.4947778,126.7371188,인천광역시 부평구 동수천로 104,eKEN_HANWHA,23.0 ,23.0 ,2013-12-01,23.0 ,3.7 ,5.5 ,2551.0 ,1200.2 ,34.7 
2019-04-01,부개도서관,37.490958,126.739488,인천광역시 부평구 부일로83번길 46,GESOL_STD,20.0 ,19.0 ,,19.0 ,4.1 ,6.1 ,2357.0 ,1109.0 ,32.0 
2019-04-01,부평구의회,37.5067667,126.7218573,인천광역시 부평구 부평대로 168,GESOL_STD,31.5 ,31.5 ,2013-12-01,32.0 ,3.5 ,5.3 ,3347.0 ,1574.8 ,45.5 
2019-04-01,부평기후변화체험관,37.509436,126.730812,인천광역시 부평구 갈산동 403,GESOL_STD,36.5 ,36.0 ,2012-11-01,36.0 ,3.7 ,5.5 ,4012.0 ,1887.6 ,54.5 
2019-03-01,부평민방위교육장,37.511411,126.733308,인천광역시 부평구 삼산동 441-6,eKEN820N,43.2 ,43.2 ,2012-05-01,43.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-04-01,부평아트센터,37.483406,126.70478,인천광역시 부평구 십정동 186-411,GESOL_STD,52.0 ,52.0 ,2012-11-01,52.0 ,3.4 ,5.2 ,5297.0 ,2492.2 ,72.0 
2019-04-01,부평청소년수련원,37.508277,126.740225,인천광역시 부평구 삼산동 458-2,GESOL_STD,33.4 ,24.3 ,2010-12-01,24.0 ,2.4 ,3.7 ,1757.0 ,826.7 ,23.9 
2019-04-01,부평민방위교육장,37.511411,126.733308,인천광역시 부평구 삼산동 441-6,eKEN820N,43.2 ,43.2 ,2012-05-01,43.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-05-01,부평민방위교육장,37.511411,126.733308,인천광역시 부평구 삼산동 441-6,eKEN820N,43.2 ,43.2 ,2012-05-01,43.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2019-04-01,십정2동행정복지센터,37.473828,126.707834,인천광역시 부평구 십정2동 584,eKEN_HANWHA,12.4 ,12.4 ,,12.0 ,2.4 ,5.7 ,891.0 ,419.2 ,12.1 
2019-03-01,은광원,37.485381,126.736741,인천광역시 부평구 부개동 257,eKEN820N,35.0 ,35.0 ,2012-11-01,35.0 ,1.2 ,4.7 ,1288.0 ,606.0 ,17.5 
