"년월일","호기","구분","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2019-01-01","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2579.50","0","0","0","0","0","0","0","0","0"
"2019-01-02","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4412.40","0","0","0","0","0","0","0","0","0"
"2019-01-03","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4466.20","0","0","0","0","0","0","0","0","0"
"2019-01-04","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2965.00","0","0","0","0","0","0","0","0","0"
"2019-01-05","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3379.20","0","0","0","0","0","0","0","0","0"
"2019-01-06","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3828.70","0","0","0","0","0","0","0","0","0"
"2019-01-07","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3731.50","0","0","0","0","0","0","0","0","0"
"2019-01-08","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4126.70","0","0","0","0","0","0","0","0","0"
"2019-01-09","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3450.40","0","0","0","0","0","0","0","0","0"
"2019-01-10","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3193.30","0","0","0","0","0","0","0","0","0"
"2019-01-11","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3640.80","0","0","0","0","0","0","0","0","0"
"2019-01-12","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","979.5","0","0","0","0","0","0","0","0","0"
"2019-01-13","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2530.80","0","0","0","0","0","0","0","0","0"
"2019-01-14","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2207.20","0","0","0","0","0","0","0","0","0"
"2019-01-15","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2588.70","0","0","0","0","0","0","0","0","0"
"2019-01-16","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4035.60","0","0","0","0","0","0","0","0","0"
"2019-01-17","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1726.50","0","0","0","0","0","0","0","0","0"
"2019-01-18","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4006.90","0","0","0","0","0","0","0","0","0"
"2019-01-19","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2616.30","0","0","0","0","0","0","0","0","0"
"2019-01-20","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4509.20","0","0","0","0","0","0","0","0","0"
"2019-01-21","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4651.50","0","0","0","0","0","0","0","0","0"
"2019-01-22","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4251.10","0","0","0","0","0","0","0","0","0"
"2019-01-23","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3518.00","0","0","0","0","0","0","0","0","0"
"2019-01-24","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4615.20","0","0","0","0","0","0","0","0","0"
"2019-01-25","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3661.30","0","0","0","0","0","0","0","0","0"
"2019-01-26","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4984.80","0","0","0","0","0","0","0","0","0"
"2019-01-27","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4836.90","0","0","0","0","0","0","0","0","0"
"2019-01-28","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3729.90","0","0","0","0","0","0","0","0","0"
"2019-01-29","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4655.60","0","0","0","0","0","0","0","0","0"
"2019-01-30","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3993.60","0","0","0","0","0","0","0","0","0"
