"년월일","호기","구분","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2019-01-01","1","발전량","0","0","0","0","0","0","0","0","2.34","10.2","3.18","2.58","2.7","2.46","2.4","5.4","15.36","0","48.84","50.22","50.22","39.3","0","0"
"2019-01-02","1","발전량","0","0","0","0","0","0","0","0","2.04","7.44","3","2.7","2.7","2.64","2.52","13.92","19.86","0","48.72","50.22","50.22","35.4","0","0"
"2019-01-03","1","발전량","0","0","0","0","0","0","0","0","1.44","6.84","3","2.7","2.7","2.64","2.58","21.42","20.64","0","48.72","50.16","50.16","37.8","0","0"
"2019-01-04","1","발전량","0","0","0","0","0","0","0","0","1.62","7.32","3","2.34","2.28","2.52","2.46","2.22","2.16","0","48.6","28.32","0","0","0","0"
"2019-01-05","1","발전량","0","0","0","0","0","0","0","0","2.4","4.68","2.58","2.46","3","2.64","2.64","2.46","13.8","0.12","48.6","50.22","47.58","0","0","0"
"2019-01-06","1","발전량","0","0","0","0","0","0","0","0","2.64","6.6","3","2.64","2.76","2.7","2.7","3.78","21.84","0","48.6","50.1","50.1","36.18","0","0"
"2019-01-07","1","발전량","0","0","0","0","0","0","0","0","2.16","7.62","2.94","2.7","2.7","2.76","2.64","2.34","12.78","0.24","48.6","50.16","50.16","16.92","0","0"
"2019-01-08","1","발전량","0","0","0","0","0","0","0","0","2.28","7.5","3","2.7","2.82","2.58","2.34","2.46","15.36","0.36","48.6","50.16","50.1","4.02","0","0"
"2019-01-09","1","발전량","0","0","0","0","0","0","0","0","3.96","8.88","2.94","2.64","2.46","2.52","2.22","2.34","10.62","0.18","48.72","50.22","16.86","0","0","0"
"2019-01-10","1","발전량","0","0","0","0","0","0","0","0","2.46","9.6","2.76","2.82","2.76","2.7","2.7","2.76","20.76","0.24","48.66","50.22","50.16","21.18","0","0"
"2019-01-11","1","발전량","0","0","0","0","0","0","0","0","2.4","6.36","2.82","2.64","2.76","2.64","2.64","2.34","8.28","0.24","48.48","50.16","50.1","8.7","0","0"
"2019-01-12","1","발전량","0","0","0","0","0","0","0","0","0","1.98","5.82","13.38","11.94","10.02","10.14","18.12","13.38","0.3","0","0","0","0","0","0"
"2019-01-13","1","발전량","0","0","0","0","0","0","0","0","3","8.76","19.5","31.98","38.94","43.56","40.86","33.3","15.72","0.18","0","0","0","0","0","0"
"2019-01-14","1","발전량","0","0","0","0","0","0","0","0","2.64","8.28","3","2.76","2.7","2.88","2.64","2.4","7.38","0.18","48.48","50.04","50.1","26.22","0.24","0"
"2019-01-15","1","발전량","0","0","0","0","0","0","0","0","3.42","9","3","2.7","2.58","2.7","2.64","2.46","13.56","0.48","48.54","50.1","50.04","13.56","0","0"
