"년월일","호기","구분","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2019-01-01","1","발전량","0","0","0","0","0","0","0","2.52","22.934","41.419","54.802","61.901","66.504","60.422","48.288","28.382","2.842","0","0","0","0","0","0","0"
"2019-01-01","2","발전량","0","0","0","0","0","0","0","0.672","46.752","282.528","74.304","53.856","70.176","136.896","55.488","41.28","106.656","0.48","927.072","987.264","333.888","0","0","0"
"2019-01-01","3","발전량","0","0","0","0","0","0","0","0","9.432","30.816","128.808","173.196","142.128","119.16","159.12","58.644","22.968","0.036","0","0","0","0","0","0"
"2019-01-01","4","발전량","0","0","0","0","0","0","0","0","16.74","395.1","1084.32","1336.68","1424.88","1414.80","1205.28","599.76","68.22","0","0","0","0","0","0","0"
"2019-01-02","1","발전량","0","0","0","0","0","0","0","1.92","23.856","43.003","58.037","64.757","65.626","61.402","50.237","32.357","7.958","0","0","0","0","0","0","0"
"2019-01-02","2","발전량","0","0","0","0","0","0","0","0.288","43.2","271.296","78.72","43.968","68.064","62.112","47.328","57.792","147.84","0.864","924.576","986.88","849.216","0","0","0"
"2019-01-02","3","발전량","0","0","0","0","0","0","0","0","6.228","24.048","137.916","166.464","143.964","156.636","173.376","50.184","20.952","0.792","0","0","0","0","0","0"
"2019-01-02","4","발전량","0","0","0","0","0","0","0","0","1.98","416.52","1148.58","1433.34","1485.00","1419.84","1243.44","644.4","56.88","0","1372.32","1486.26","1485.36","625.14","0","0"
"2019-01-03","1","발전량","0","0","0","0","0","0","0","3.058","25.867","45.202","58.282","65.165","65.04","60.893","50.352","31.805","7.934","0","0","0","0","0","0","0"
"2019-01-03","2","발전량","0","0","0","0","0","0","0","0.288","35.808","318.336","74.4","47.52","40.416","40.512","61.344","398.688","156.384","2.688","925.44","986.976","839.136","0","0","0"
"2019-01-03","3","발전량","0","0","0","0","0","0","0","0","4.896","20.7","146.628","247.32","253.332","245.988","181.584","58.176","25.992","0.756","0","0","0","0","0","0"
"2019-01-03","4","발전량","0","0","0","0","0","0","0","0","0","398.88","1243.98","1430.82","1470.78","1396.80","1254.24","653.04","59.22","0","0","0","0","0","0","0"
"2019-01-04","1","발전량","0","0","0","0","0","0","0","2.755","24.73","22.651","44.386","9.672","10.469","13.406","5.573","0.902","0","0","0","0","0","0","0","0"
"2019-01-04","2","발전량","0","0","0","0","0","0","0","0.384","40.896","176.544","124.704","89.952","40.512","40.512","41.952","33.216","12.288","0","624.48","0","0","0","0","0"
"2019-01-04","3","발전량","0","0","0","0","0","0","0","0","6.048","34.2","114.696","140.472","38.34","45.54","48.492","14.724","1.008","0","0","0","0","0","0","0"
"2019-01-04","4","발전량","0","0","0","0","0","0","0","0","0.18","184.86","890.82","620.28","179.46","204.66","223.74","47.52","0.54","0","0","0","0","0","0","0"
"2019-01-05","1","발전량","0","0","0","0","0","0","0","0","13.296","22.555","20.352","35.357","45.211","52.042","44.026","24.346","3.883","0","0","0","0","0","0","0"
"2019-01-05","2","발전량","0","0","0","0","0","0","0","0","39.552","142.08","51.552","42.816","50.112","48.672","40.512","42.24","104.064","2.976","925.824","861.984","0","0","0","0"
"2019-01-05","3","발전량","0","0","0","0","0","0","0","0","8.1","36.144","95.94","74.016","123.768","177.984","160.992","62.496","24.228","0.576","0","0","0","0","0","0"
"2019-01-05","4","발전량","0","0","0","0","0","0","0","0","44.1","231.66","590.4","477","559.62","1045.62","1007.28","575.28","97.02","0","0","0","0","0","0","0"
"2019-01-06","1","발전량","0","0","0","0","0","0","0","1.334","16.435","35.314","56.429","64.291","65.026","61.07","50.947","32.059","7.949","0","0","0","0","0","0","0"
"2019-01-06","2","발전량","0","0","0","0","0","0","0","0","59.04","208.032","62.688","54.144","40.512","40.416","40.416","211.68","159.264","4.224","925.824","987.84","857.184","0","0","0"
"2019-01-06","3","발전량","0","0","0","0","0","0","0","0","15.732","23.436","134.496","247.536","261.108","248.976","189.684","63.324","21.168","1.476","0","0","0","0","0","0"
"2019-01-06","4","발전량","0","0","0","0","0","0","0","0","70.92","352.08","1080.54","1429.02","1497.96","1425.42","1263.06","734.22","70.2","0","0","0","0","0","0","0"
"2019-01-07","1","발전량","0","0","0","0","0","0","0","2.482","23.069","41.4","53.957","60.437","59.266","51.552","40.426","23.904","3.614","0","0","0","0","0","0","0"
"2019-01-07","2","발전량","0","0","0","0","0","0","0","1.056","43.68","270.432","76.704","40.416","40.512","45.888","40.32","41.664","105.504","2.112","925.824","987.456","779.04","0","0","0"
"2019-01-07","3","발전량","0","0","0","0","0","0","0","0","7.308","24.48","143.028","228.384","230.076","211.788","154.404","67.824","26.352","0.612","0","0","0","0","0","0"
"2019-01-07","4","발전량","0","0","0","0","0","0","0","0","4.32","419.76","180.18","102.06","114.66","115.56","101.88","218.16","104.22","0","1369.98","1485.54","1485.90","784.62","0","0"
"2019-01-08","1","발전량","0","0","0","0","0","0","0","0.326","19.675","39.168","51.926","60.883","60.557","54.019","40.69","26.914","5.976","0","0","0","0","0","0","0"
"2019-01-08","2","발전량","0","0","0","0","0","0","0","0.48","43.488","248.832","69.312","40.416","40.512","40.416","42.528","43.776","123.456","4.608","925.248","987.264","783.84","0","0","0"
"2019-01-08","3","발전량","0","0","0","0","0","0","0","0","7.344","30.384","138.636","223.956","235.188","217.476","166.968","72.432","29.664","1.512","0","0","0","0","0","0"
"2019-01-08","4","발전량","0","0","0","0","0","0","0","0","19.08","402.66","172.08","101.88","102.06","113.04","119.16","382.5","106.92","0","1369.08","1485.54","1485.90","685.62","0","0"
"2019-01-09","1","발전량","0","0","0","0","0","0","0","1.656","21.845","41.52","52.709","43.349","20.938","20.774","12.384","10.368","5.194","0","0","0","0","0","0","0"
"2019-01-09","2","발전량","0","0","0","0","0","0","0","0.192","63.936","275.616","77.088","49.536","43.968","40.896","41.088","40.224","88.992","2.592","922.176","536.256","0","0","0","0"
"2019-01-09","3","발전량","0","0","0","0","0","0","0","0","14.76","40.608","152.352","230.076","108.216","80.604","66.204","42.732","24.768","1.152","0","0","0","0","0","0"
"2019-01-09","4","발전량","0","0","0","0","0","0","0","0","64.98","495.72","182.34","118.08","102.42","101.52","102.06","101.7","89.28","0.18","1368.72","1474.38","0","0","0","0"
"2019-01-10","1","발전량","0","0","0","0","0","0","0","0.182","5.069","19.483","29.736","41.208","62.966","58.598","48.701","31.546","8.242","0","0","0","0","0","0","0"
"2019-01-10","2","발전량","0","0","0","0","0","0","0","6.24","25.056","144.096","62.4","59.616","51.648","40.512","40.416","40.32","150.048","6.72","925.632","988.992","490.08","0","0","0"
"2019-01-10","3","발전량","0","0","0","0","0","0","0","0","2.916","35.748","83.232","95.544","215.928","237.852","187.848","82.08","22.104","1.836","0","0","0","0","0","0"
"2019-01-10","4","발전량","0","0","0","0","0","0","0","0","12.6","261.54","160.38","121.5","178.56","102.24","101.88","101.52","77.4","0","1368.18","1485.90","1486.08","295.92","0","0"
"2019-01-11","1","발전량","0","0","0","0","0","0","0","1.459","10.747","34.19","49.138","52.171","36.024","53.76","45.086","27.499","3.854","0","0","0","0","0","0","0"
"2019-01-11","2","발전량","0","0","0","0","0","0","0","1.344","59.616","175.104","67.2","58.56","47.424","91.008","43.68","40.896","122.976","7.392","923.904","989.184","469.344","0","0","0"
"2019-01-11","3","발전량","0","0","0","0","0","0","0","0.036","14.94","40.212","155.592","202.68","160.668","131.508","170.46","84.672","26.1","3.456","0","0","0","0","0","0"
"2019-01-11","4","발전량","0","0","0","0","0","0","0","0","70.92","328.86","190.08","139.5","113.76","239.4","101.88","101.7","91.62","5.22","1367.28","1485.90","1486.26","135.18","0","0"
