"년월일","호기","구분","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2019-01-01","1","발전량","0","0","0","0","0","0","0","7.232","321.805","1431.85","343.5","198.868","256.721","231.411","690.616","1637.95","401.353","7.232","3858.05","3930.36","3930.36","137.4","0","0"
"2019-01-01","2","발전량","0","0","0","0","0","0","0","14.463","376.042","2376.78","366.4","298.905","327.832","342.295","3437.41","2666.04","636.379","9.642","5939.54","5949.18","5915.43","48.211","0","0"
"2019-01-02","1","발전량","0","0","0","0","0","0","0","7.232","307.342","1529.48","267.568","198.868","202.484","198.868","1612.64","1775.35","545.984","10.847","3858.05","3930.36","3890.59","94.011","0","0"
"2019-01-02","2","발전량","0","0","0","0","0","0","0","9.642","327.832","2550.34","337.474","298.905","303.726","347.116","4575.18","2887.81","824.4","9.642","5944.36","5949.18","5915.43","28.926","0","0"
"2019-01-03","1","발전량","0","0","0","0","0","0","0","3.616","303.726","1601.80","267.568","198.868","198.868","198.868","1395.70","1757.27","545.984","14.463","3854.43","3933.98","3897.82","90.395","0","0"
"2019-01-03","2","발전량","0","0","0","0","0","0","0","4.821","289.263","2651.58","332.653","303.726","298.905","298.905","4449.83","2858.88","829.221","14.463","5944.36","5949.18","5920.25","14.463","0","0"
"2019-01-04","1","발전량","0","0","0","0","0","0","0","3.616","303.726","791.858","705.079","426.663","202.484","198.868","227.795","177.174","79.547","0","3120.43","0","0","0","0","0"
"2019-01-04","2","발전량","0","0","0","0","0","0","0","9.642","284.442","1084.74","891.895","684.589","298.905","303.726","323.011","255.516","96.421","0","4285.92","0","0","0","0","0"
"2019-01-05","1","발전량","0","0","0","0","0","0","0","0","227.795","788.242","253.105","267.568","365.195","202.484","198.868","198.868","426.663","21.695","3858.05","3933.98","347.116","0","0","0"
"2019-01-05","2","발전량","0","0","0","0","0","0","0","0","289.263","1075.10","298.905","303.726","376.042","298.905","298.905","303.726","573.705","19.284","5949.18","5732.23","0","0","0","0"
"2019-01-06","1","발전량","0","0","0","0","0","0","0","0","379.658","1164.28","242.258","202.484","198.868","198.868","1211.29","1905.52","560.447","21.695","3858.05","3933.98","3933.98","133.784","0","0"
"2019-01-06","2","발전량","0","0","0","0","0","0","0","0","433.895","1658.44","318.189","298.905","303.726","298.905","390.505","2622.65","737.621","19.284","5944.36","5949.18","5949.18","91.6","0","0"
"2019-01-07","1","발전량","0","0","0","0","0","0","0","7.232","318.189","1482.47","253.105","198.868","202.484","267.568","198.868","817.168","451.974","14.463","3861.66","3930.36","3908.67","86.779","0","0"
"2019-01-07","2","발전량","0","0","0","0","0","0","0","14.463","318.189","2097.16","318.189","303.726","298.905","390.505","298.905","298.905","597.811","14.463","5949.18","5949.18","5447.79","0","0","0"
"2019-01-08","1","발전량","0","0","0","0","0","0","0","7.232","271.184","1377.62","245.874","198.868","202.484","198.868","216.947","1059.43","527.905","32.542","3858.05","3930.36","3915.90","43.389","0","0"
"2019-01-08","2","발전량","0","0","0","0","0","0","0","4.821","298.905","1942.88","318.189","298.905","298.905","303.726","327.832","308.547","703.874","33.747","5949.18","5949.18","5674.38","0","0","0"
"2019-01-09","1","발전량","0","0","0","0","0","0","0","7.232","386.889","1637.95","300.111","329.037","267.568","202.484","220.563","202.484","415.816","25.311","3854.43","3257.83","0","0","0","0"
