"년월일","호기","구분","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2020-01-01","1","발전량","0","0","0","0","0","0","0","10.847","339.884","1515.02","303.726","202.484","198.868","2773.31","2693.76","1681.34","480.9","18.079","3774.88","3930.36","227.795","0","0","0"
"2020-01-01","2","발전량","0","0","0","0","0","0","0","19.284","385.684","2569.62","376.042","303.726","1272.76","5216.38","4502.86","2743.18","732.8","24.105","5881.68","5949.18","318.189","0","0","0"
"2020-01-02","1","발전량","0","0","0","0","0","0","0","7.232","289.263","1258.30","278.416","202.484","198.868","1251.06","2306.87","1428.24","433.895","18.079","3778.50","3926.75","220.563","0","0","0"
"2020-01-02","2","발전량","0","0","0","0","0","0","0","14.463","395.326","2135.73","356.758","298.905","303.726","3582.04","3852.02","2314.11","679.768","24.105","5881.68","5954.00","298.905","0","0","0"
"2020-01-03","1","발전량","0","0","0","0","0","0","0","3.616","300.111","1279.99","285.647","419.432","263.953","1229.37","2505.74","1536.71","404.968","28.926","3778.50","3923.13","209.716","0","0","0"
"2020-01-03","2","발전량","0","0","0","0","0","0","0","14.463","400.147","2179.12","361.579","650.842","419.432","3529.01","4160.57","2502.13","626.737","38.568","5886.51","5949.18","265.158","0","0","0"
"2020-01-04","1","발전량","0","0","0","0","0","0","0","7.232","271.184","907.563","271.184","553.216","224.179","1023.27","2570.83","1659.65","480.9","21.695","3774.88","3926.75","198.868","0","0","0"
"2020-01-04","2","발전량","0","0","0","0","0","0","0","24.105","424.253","1518.63","356.758","1055.81","356.758","3046.91","4295.56","2694.97","742.442","24.105","5886.51","5949.18","250.695","0","0","0"
"2020-01-05","1","발전량","0","0","0","0","0","0","0","3.616","282.032","1507.78","300.111","235.026","198.868","2502.13","2549.13","1323.38","629.147","21.695","3778.50","3923.13","220.563","0","0","0"
"2020-01-05","2","발전량","0","0","0","0","0","0","0","4.821","284.442","2574.44","376.042","371.221","906.358","5076.57","4203.96","2227.33","969.032","28.926","0","0","0","0","0","0"
"2020-01-06","1","발전량","0","0","0","0","0","0","0","0","18.079","216.947","195.253","148.247","177.174","195.253","195.253","122.937","7.232","0","180.789","0","0","0","0","0"
"2020-01-06","2","발전량","0","0","0","0","0","0","0","0","1721.12","6358.97","361.579","236.232","279.621","298.905","298.905","183.2","9.642","0","4536.61","0","0","0","0","0"
"2020-01-07","1","발전량","0","0","0","0","0","0","0","0","0","50.621","133.784","180.789","97.626","133.784","57.853","3.616","0","0","14.463","0","0","0","0","0"
"2020-01-07","2","발전량","0","0","0","0","0","0","0","0","0","77.137","212.126","269.979","168.737","202.484","72.316","4.821","0","0","250.695","0","0","0","0","0"
