"년월일","호기","구분","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2018-01-01","1","발전량","0","0","0","0","0","0","0","0","93.024","345.792","558.816","698.4","756.096","697.248","547.68","386.784","173.952","0.576","0","0","0","0","0","0"
"2018-01-02","1","발전량","0","0","0","0","0","0","0","0","56.352","235.776","425.568","550.56","635.424","640.608","519.648","361.248","142.56","0.864","0","0","0","0","0","0"
"2018-01-03","1","발전량","0","0","0","0","0","0","0","0","88.8","320.448","541.44","696.576","738.912","685.728","542.4","378.912","170.208","1.536","0","0","0","0","0","0"
"2018-01-04","1","발전량","0","0","0","0","0","0","0","0","46.272","218.784","430.08","635.232","625.536","535.776","252.384","67.68","4.416","0","0","0","0","0","0","0"
"2018-01-05","1","발전량","0","0","0","0","0","0","0","0","18.144","217.536","339.744","623.616","611.904","650.688","479.328","329.376","86.4","5.376","0","0","0","0","0","0"
"2018-01-06","1","발전량","0","0","0","0","0","0","0","0","90.048","339.36","556.416","693.024","756.288","696.864","554.4","388.8","187.2","3.36","0","0","0","0","0","0"
"2018-01-07","1","발전량","0","0","0","0","0","0","0","0","75.456","216.864","376.8","628.416","517.92","362.688","211.872","53.76","7.2","0","0","0","0","0","0","0"
"2018-01-08","1","발전량","0","0","0","0","0","0","0","0","2.784","2.592","51.936","131.712","156.096","495.168","231.36","84.48","12.384","0","0","0","0","0","0","0"
"2018-01-09","1","발전량","0","0","0","0","0","0","0","0","64.032","246.816","443.52","603.936","684.096","641.952","534.048","402.048","172.896","3.456","0","0","0","0","0","0"
"2018-01-10","1","발전량","0","0","0","0","0","0","0","0","91.2","340.992","571.584","740.736","818.496","746.784","620.544","446.4","210.432","8.064","0","0","0","0","0","0"
"2018-01-11","1","발전량","0","0","0","0","0","0","0","0","94.368","356.448","571.968","696.96","812.736","766.176","623.616","436.128","217.632","7.296","0","0","0","0","0","0"
"2018-01-12","1","발전량","0","0","0","0","0","0","0","0","99.456","363.648","584.832","731.232","812.832","760.416","618.336","442.176","244.8","11.712","0","0","0","0","0","0"
"2018-01-13","1","발전량","0","0","0","0","0","0","0","0","85.056","320.256","526.08","659.328","751.296","697.152","581.664","401.376","197.472","7.488","0","0","0","0","0","0"
"2018-01-14","1","발전량","0","0","0","0","0","0","0","0","81.312","306.144","524.064","668.064","751.872","695.232","577.728","400.992","221.568","10.848","0","0","0","0","0","0"
"2018-01-15","1","발전량","0","0","0","0","0","0","0","0","21.312","269.376","442.08","622.656","714.24","684.48","475.872","254.976","101.856","6.528","0","0","0","0","0","0"
"2018-01-16","1","발전량","0","0","0","0","0","0","0","0","18.912","151.296","279.168","427.776","524.64","361.344","214.08","81.792","36.192","1.056","0","0","0","0","0","0"
"2018-01-17","1","발전량","0","0","0","0","0","0","0","0","0.192","6.624","10.656","11.136","27.264","50.208","114.24","157.536","37.632","3.264","0","0","0","0","0","0"
"2018-01-18","1","발전량","0","0","0","0","0","0","0","0","28.416","93.12","159.744","187.008","257.76","267.072","244.608","131.712","51.072","2.784","0","0","0","0","0","0"
"2018-01-19","1","발전량","0","0","0","0","0","0","0","0","89.76","273.984","526.464","664.608","741.888","709.056","597.984","431.328","218.4","19.008","0","0","0","0","0","0"
"2018-01-20","1","발전량","0","0","0","0","0","0","0","0.096","50.688","130.08","209.184","251.808","390.624","492.384","419.808","305.088","123.648","6.528","0","0","0","0","0","0"
"2018-01-21","1","발전량","0","0","0","0","0","0","0","0.096","79.584","296.16","488.64","588.096","691.2","664.896","542.688","349.824","115.2","5.664","0","0","0","0","0","0"
"2018-01-22","1","발전량","0","0","0","0","0","0","0","0","22.656","97.536","191.328","227.52","315.84","397.248","233.76","165.12","61.056","0.672","0","0","0","0","0","0"
"2018-01-23","1","발전량","0","0","0","0","0","0","0","0","61.344","231.552","422.4","594.144","728.64","773.952","683.616","530.496","322.56","39.648","0","0","0","0","0","0"
"2018-01-24","1","발전량","0","0","0","0","0","0","0","0.384","110.304","380.736","581.472","671.232","756","775.968","685.248","544.416","336.864","45.216","0","0","0","0","0","0"
"2018-01-25","1","발전량","0","0","0","0","0","0","0","0.576","113.664","373.44","586.848","740.448","839.424","819.744","698.112","500.64","275.328","24.96","0","0","0","0","0","0"
"2018-01-26","1","발전량","0","0","0","0","0","0","0","0.288","113.856","382.464","580.608","707.136","779.232","780.192","708.576","528.48","330.72","49.44","0","0","0","0","0","0"
"2018-01-27","1","발전량","0","0","0","0","0","0","0","0.48","104.544","355.392","580.032","728.928","813.12","798.048","684.384","505.632","308.544","42.912","0","0","0","0","0","0"
"2018-01-28","1","발전량","0","0","0","0","0","0","0","0","17.568","132.48","484.032","489.792","737.376","633.12","590.4","416.736","177.216","14.976","0","0","0","0","0","0"
"2018-01-29","1","발전량","0","0","0","0","0","0","0","0.576","101.376","349.536","579.936","750.336","844.032","828.96","722.304","548.544","344.16","57.888","0","0","0","0","0","0"
"2018-01-30","1","발전량","0","0","0","0","0","0","0","0.384","108.48","368.256","600.672","745.152","818.688","807.168","702.816","529.92","285.792","25.344","0","0","0","0","0","0"
"2018-01-31","1","발전량","0","0","0","0","0","0","0","0.192","47.712","195.456","283.68","346.752","392.352","212.256","192.576","111.648","83.04","27.744","0","0","0","0","0","0"
"2018-02-01","1","발전량","0","0","0","0","0","0","0","0.48","109.728","363.456","587.424","746.976","828.768","819.744","654.912","446.88","250.752","40.224","0","0","0","0","0","0"
"2018-02-02","1","발전량","0","0","0","0","0","0","0","3.84","98.592","299.424","541.92","339.264","168","177.984","134.112","102.048","33.12","0.192","0","0","0","0","0","0"
"2018-02-03","1","발전량","0","0","0","0","0","0","0","0.768","74.688","285.984","537.792","735.648","847.776","849.984","753.312","570.144","367.68","75.072","0","0","0","0","0","0"
"2018-02-04","1","발전량","0","0","0","0","0","0","0","1.152","105.696","391.2","552.288","518.688","732.864","846.144","779.808","574.176","345.696","69.6","0","0","0","0","0","0"
