"년월일","호기","구분","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2020-01-01","1","발전량","153.6","0","0","0","0","0","0","0","2.4","103.44","71.76","87.84","102.48","99.6","100.56","103.44","92.16","0","0","0","0","31.2","1341.60","0"
"2020-01-01","2","발전량","142.08","0","0","0","0","0","0","0","3.936","38.592","21.504","36.768","51.648","48.48","49.248","50.016","35.328","0","0","0","0","0","479.04","0"
"2020-01-01","3","발전량","90","0","0","0","0","0","0","0","3","45.96","30.48","45.36","42.12","43.68","45.96","45.6","39.24","0","0","0","0","0","692.4","0"
"2020-01-02","1","발전량","0","0","0","0","0","0","0","0","0","63.36","92.4","94.8","101.04","95.52","103.44","66.96","19.68","0","0","0","0","28.8","403.2","0"
"2020-01-02","2","발전량","0","0","0","0","0","0","0","0","0","22.752","39.36","39.936","48.96","49.632","49.536","26.496","4.896","0","0","0","0","0","143.04","0"
"2020-01-02","3","발전량","0","0","0","0","0","0","0","0","0","28.32","44.16","45.36","47.28","47.76","46.44","27.48","7.2","0","0","0","0","0","145.2","0"
"2020-01-03","1","발전량","0","0","0","0","0","0","0","0","171.12","672.72","90.24","85.44","78","92.16","80.88","697.44","290.4","3.84","0","0","0","31.2","2966.40","2961.60"
"2020-01-03","2","발전량","0","0","0","0","0","0","0","0","62.496","340.992","54.336","30.432","48.96","946.848","832.224","556.992","213.312","5.088","0","0","0","0","944.64","990.72"
"2020-01-03","3","발전량","0","0","0","0","0","0","0","0","89.4","380.52","54.12","38.76","549.12","1116.24","955.8","632.4","200.16","0.72","0","0","0","0","960","991.2"
"2020-01-04","1","발전량","141.6","0","0","0","0","0","0","0","48.24","594.96","72.72","73.68","71.04","85.68","1403.28","1186.56","285.84","0","0","0","0","28.8","2964.00","2961.60"
"2020-01-04","2","발전량","131.52","0","0","0","0","0","0","0","17.28","293.376","56.352","31.392","28.224","738.336","823.872","589.92","231.648","5.472","0","0","0","0","943.68","990.72"
"2020-01-04","3","발전량","74.4","0","0","0","0","0","0","0","26.64","367.8","53.04","34.56","332.16","1079.64","953.28","692.88","213.96","0","0","0","0","0","958.8","991.2"
"2020-01-05","1","발전량","160.8","0","0","0","0","0","0","0","239.04","1050.48","71.28","71.04","92.16","97.68","564","540.24","204.96","0","0","0","0","28.8","2964.00","2961.60"
"2020-01-05","2","발전량","146.88","0","0","0","0","0","0","0","105.216","445.632","59.232","33.696","41.664","604.128","415.872","227.232","88.032","0","0","0","0","0","944.64","990.72"
"2020-01-05","3","발전량","74.4","0","0","0","0","0","0","0","142.92","603.96","57.24","50.16","413.88","837.24","487.32","276.72","98.28","0","0","0","0","0","958.8","990"
"2020-01-06","1","발전량","165.6","0","0","0","0","0","0","0","10.8","87.36","100.32","87.84","106.56","102.72","96.96","76.08","14.88","0","0","0","0","33.6","633.6","0"
"2020-01-06","2","발전량","145.92","0","0","0","0","0","0","0","2.976","31.584","51.456","41.472","56.736","52.032","41.664","28.704","4.512","0","0","0","0","0","224.64","0"
"2020-01-06","3","발전량","81.6","0","0","0","0","0","0","0","5.04","40.92","47.28","45.12","48","47.88","43.56","31.8","2.16","0","0","0","0","0","238.8","0"
"2020-01-07","1","발전량","0","0","0","0","0","0","0","0","0","47.52","52.8","72.72","76.08","84.48","30","6","0","0","0","0","0","0","0","0"
"2020-01-07","2","발전량","0","0","0","0","0","0","0","0","0","13.152","17.184","25.056","25.824","22.272","4.896","0","0","0","0","0","0","0","0","0"
"2020-01-07","3","발전량","0","0","0","0","0","0","0","0","0","19.56","25.68","31.56","35.76","37.68","14.64","0","0","0","0","0","0","0","0","0"
"2020-01-08","1","발전량","0","0","0","0","0","0","0","0","0","91.92","93.12","98.88","98.16","102.96","97.2","93.6","9.12","0","0","0","0","28.8","1173.60","0"
"2020-01-08","2","발전량","0","0","0","0","0","0","0","0","0","38.496","48.864","50.112","51.744","48.864","51.552","38.592","4.032","0","0","0","0","0","331.2","0"
"2020-01-08","3","발전량","0","0","0","0","0","0","0","0","0","39.6","45.36","46.68","47.88","45.84","47.28","33.72","0","0","0","0","0","0","391.2","0"
"2020-01-09","1","발전량","0","0","0","0","0","0","0","0","101.04","624.96","82.32","57.12","73.2","138.72","1375.68","1072.80","368.64","13.92","0","0","0","31.2","2964.00","2961.60"
"2020-01-09","2","발전량","0","0","0","0","0","0","0","0","32.736","188.352","56.832","32.256","40.032","536.736","770.208","519.264","209.376","8.352","0","0","0","0","943.68","990.72"
"2020-01-09","3","발전량","0","0","0","0","0","0","0","0","50.88","287.28","61.56","82.8","135.48","931.8","788.64","583.92","198.96","5.64","0","0","0","0","957.6","991.2"
"2020-01-10","1","발전량","136.8","0","0","0","0","0","0","0","197.28","897.12","77.76","81.6","67.92","92.4","924.48","1270.56","358.08","6.96","0","0","0","33.6","2964.00","2961.60"
"2020-01-10","2","발전량","106.56","0","0","0","0","0","0","0","76.032","364.992","57.696","38.4","30.816","660.096","839.808","606.624","249.792","9.888","0","0","0","0","942.72","991.68"
"2020-01-10","3","발전량","60","0","0","0","0","0","0","0","99.36","473.52","57.48","41.04","167.88","1137.24","972.84","690.6","249.36","3.96","0","0","0","0","957.6","991.2"
"2020-01-11","1","발전량","146.4","0","0","0","0","0","0","0","168","486.72","100.56","87.36","68.88","84.24","83.04","116.88","302.88","32.16","0","0","0","31.2","2964.00","2954.40"
"2020-01-11","2","발전량","138.24","0","0","0","0","0","0","0","64.896","272.256","58.368","23.136","27.84","691.584","820.512","574.848","193.248","21.6","0","0","0","0","941.76","990.72"
"2020-01-11","3","발전량","70.8","0","0","0","0","0","0","0","81.48","333.96","59.4","75.36","166.32","995.88","929.04","632.76","189.48","16.32","0","0","0","0","956.4","990"
"2020-01-12","1","발전량","24","0","0","0","0","0","0","0","108.72","329.04","88.32","63.12","84.96","77.28","104.88","818.16","328.8","27.12","0","0","0","33.6","2964.00","2961.60"
"2020-01-12","2","발전량","130.56","0","0","0","0","0","0","0","39.552","192.48","52.704","47.136","58.368","518.4","671.712","364.224","194.496","19.776","0","0","0","0","940.8","991.68"
"2020-01-12","3","발전량","76.8","0","0","0","0","0","0","0","54.36","188.76","63.12","86.04","179.04","782.52","890.52","547.2","200.52","14.52","0","0","0","0","956.4","991.2"
"2020-01-13","1","발전량","141.6","0","0","0","0","0","0","0","97.44","1002.00","70.08","63.6","74.88","1995.36","1927.68","1524.00","423.36","14.16","0","0","0","33.6","2964.00","2961.60"
"2020-01-13","2","발전량","123.84","0","0","0","0","0","0","0","37.728","413.664","73.152","27.84","453.504","1070.98","955.68","724.224","307.968","21.888","0","0","0","0","941.76","991.68"
"2020-01-13","3","발전량","74.4","0","0","0","0","0","0","0","78.24","611.4","108.84","232.32","939.12","1268.88","1113.72","826.56","315","11.52","0","0","0","0","956.4","991.2"
"2020-01-14","1","발전량","163.2","0","0","0","0","0","0","0","55.68","279.84","72","93.6","97.92","79.92","84","114.24","396.96","18.72","0","0","0","31.2","2964.00","2851.20"
"2020-01-14","2","발전량","150.72","0","0","0","0","0","0","0","20.064","111.84","39.072","43.68","42.144","31.488","484.032","590.688","260.16","19.008","0","0","0","0","939.84","991.68"
"2020-01-14","3","발전량","84","0","0","0","0","0","0","0","24.96","121.44","48.24","41.52","39.24","37.68","762.6","679.92","270.6","12.72","0","0","0","0","955.2","991.2"
"2020-01-15","1","발전량","0","0","0","0","0","0","0","0","260.4","1137.60","67.2","64.32","83.04","1299.12","1644.00","1391.52","422.88","23.52","0","0","0","31.2","2964.00","2964.00"
"2020-01-15","2","발전량","144.96","0","0","0","0","0","0","0","120.192","488.928","58.944","26.4","429.888","1026.05","900.96","658.08","282.432","24.576","0","0","0","0","940.8","991.68"
"2020-01-15","3","발전량","70.8","0","0","0","0","0","0","0","156.24","615.36","65.28","153.72","901.8","1188.96","1035.00","750.6","297.48","16.2","0","0","0","0","955.2","991.2"
"2020-01-16","1","발전량","156","0","0","0","0","0","0","0","98.88","846.72","95.04","50.4","64.56","851.28","1451.76","1437.84","235.92","15.6","0","0","0","33.6","2964.00","2961.60"
