"년월일","호기","구분","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2019-01-01","1","발전량","0","0","0","0","0","0","0","0","14.4","120.192","213.504","104.41","166.81","193.997","146.419","187.123","103.488","0","0","0","0","0","0","0"
"2019-01-01","2","발전량","150.72","0","0","0","0","0","0","0","22.198","113.84","63.032","44.691","12.354","120.055","171.651","179.368","77.162","0.989","0","0","0","56.64","301.44","0"
"2019-01-02","1","발전량","0","0","0","0","0","0","0","0","10.176","154.944","358.886","623.232","706.944","674.074","489.754","298.022","142.234","0","0","0","0","0","0","0"
"2019-01-02","2","발전량","0","0","0","0","0","0","0","0","44.375","155.318","0","17.933","35.099","22.48","36.665","62.034","108.977","2.918","0","0","0","57.6","988.8","988.8"
"2019-01-03","1","발전량","0","0","0","0","0","0","0","0","0","168.192","377.05","621.734","696.384","652.838","493.978","294.336","143.846","0","0","0","0","0","0","0"
"2019-01-03","2","발전량","382.08","0","0","0","0","0","0","0","45.339","248.905","11.886","15.293","17.305","35.394","56.952","43.549","108.017","2.918","0","0","0","57.6","987.84","989.76"
"2019-01-04","1","발전량","0","0","0","0","0","0","0","0","16.282","84.442","92.16","91.123","150.106","243.302","146.611","61.21","15.744","0","0","0","0","0","0","0"
"2019-01-04","2","발전량","771.84","0","0","0","0","0","0","0","25.095","91.646","65.659","103.192","151.406","163.937","92.589","18.341","3.878","0","0","0","0","0","0","0"
"2019-01-05","1","발전량","0","0","0","0","0","0","0","0","0","164.544","335.578","428.89","735.168","631.104","528.461","307.392","152.218","11.712","0","0","0","0","0","0"
"2019-01-05","2","발전량","0","0","0","0","0","0","0","0","42.446","260.366","48.909","35.436","50.552","28.135","82.931","140.893","110.909","4.842","0","0","0","0","975.36","989.76"
"2019-01-06","1","발전량","0","0","0","0","0","0","0","0","11.942","112.858","315.072","619.238","695.386","660.096","512.525","302.208","151.603","11.789","0","0","0","0","0","0"
"2019-01-06","2","발전량","233.28","0","0","0","0","0","0","0","19.305","174.547","18.223","41.006","34.114","42.421","48.863","85.869","109.006","3.882","0","0","0","0","977.28","990.72"
"2019-01-07","1","발전량","0","0","0","0","0","0","0","0","14.976","138.701","314.65","535.949","545.933","514.368","375.053","155.981","75.648","0","0","0","0","0","0","0"
