"년월일","호기","구분","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2018-01-01","1","발전량","2952.00","1447.20","0","0","0","0","0","0","253.44","947.52","77.52","78.24","77.52","91.2","82.08","96.24","278.88","0","0","0","0","40.8","2944.80","2947.20"
"2018-01-01","2","발전량","991.68","248.64","0","0","0","0","0","0","102.24","382.464","39.84","36.576","39.072","39.84","36.384","45.12","170.112","0","0","0","0","2.88","991.68","991.68"
"2018-01-01","3","발전량","0","0","0","0","0","0","0","0","122.4","484.08","58.8","54.48","591.24","483.72","817.68","611.4","180","0.72","0","0","0","0","1183.20","1191.60"
"2018-01-02","1","발전량","938.4","0","0","0","0","0","0","0","106.56","434.4","99.12","87.6","85.68","92.88","89.76","98.64","218.16","0","0","0","0","43.2","2944.80","1000.80"
"2018-01-02","2","발전량","991.68","176.64","0","0","0","0","0","0","40.992","159.648","49.248","43.872","43.872","45.408","45.792","47.424","100.896","0","0","0","0","1.92","992.64","554.88"
"2018-01-02","3","발전량","896.4","0","0","0","0","0","0","0","46.44","214.92","66.96","60.72","57.6","60.72","59.64","60.36","114.6","0","0","0","0","0","1182.00","740.4"
"2018-01-03","1","발전량","0","0","0","0","0","0","0","0","290.88","1226.64","64.08","53.52","53.76","58.32","580.56","1175.52","218.88","0","0","0","0","43.2","547.2","0"
"2018-01-03","2","발전량","0","0","0","0","0","0","0","0","125.28","484.128","34.464","41.664","77.088","216.192","818.688","546.24","152.832","0","0","0","0","1.92","992.64","991.68"
"2018-01-03","3","발전량","0","0","0","0","0","0","0","0","148.2","630.84","47.52","46.56","73.32","1169.64","983.4","636.6","151.56","0","0","0","0","0","1179.60","1190.40"
"2018-01-04","1","발전량","1946.40","2911.20","0","0","0","0","0","0","291.36","808.56","79.44","72.72","82.8","90","92.16","228","91.92","0","0","0","0","40.8","2947.20","2949.60"
"2018-01-04","2","발전량","991.68","249.6","0","0","0","0","0","0","126.72","344.064","37.92","33.504","32.928","40.608","46.944","50.976","32.736","0","0","0","0","1.92","992.64","991.68"
"2018-01-04","3","발전량","830.4","0","0","0","0","0","0","0","139.56","416.16","55.44","45","44.76","52.32","61.32","66","38.64","0","0","0","0","0","1180.80","1190.40"
"2018-01-05","1","발전량","2961.60","645.6","0","0","0","0","0","0","145.2","678.72","77.52","77.04","72.72","81.84","90.48","97.2","272.16","0","0","0","0","40.8","2944.80","2944.80"
"2018-01-05","2","발전량","693.12","0","0","0","0","0","0","0","62.112","367.584","32.64","27.648","30.24","99.36","320.544","396.864","150.816","0","0","0","0","0.96","992.64","991.68"
"2018-01-05","3","발전량","752.4","0","0","0","0","0","0","0","67.92","358.08","52.08","38.76","37.08","618.6","519.6","391.92","139.68","0","0","0","0","0","1179.60","1190.40"
"2018-01-06","1","발전량","1092.00","0","0","0","0","0","0","0","259.2","1075.44","70.32","72.24","79.44","72.72","76.32","94.32","337.92","5.52","0","0","0","43.2","2944.80","2944.80"
"2018-01-06","2","발전량","991.68","264","0","0","0","0","0","0","107.328","355.488","32.736","27.744","45.504","249.408","918.528","665.088","259.392","8.448","0","0","0","0.96","992.64","991.68"
"2018-01-06","3","발전량","854.4","0","0","0","0","0","0","0","128.04","555.24","50.76","37.92","37.2","970.92","1069.32","780.24","249.48","5.64","0","0","0","0","1179.60","1189.20"
"2018-01-07","1","발전량","2952.00","64.8","0","0","0","0","0","0","229.2","564","87.12","93.36","91.44","98.4","97.44","100.56","74.64","0","0","0","0","43.2","2299.20","0"
"2018-01-07","2","발전량","991.68","273.6","0","0","0","0","0","0","89.088","229.92","420.288","255.552","290.688","157.824","50.496","50.784","26.976","0","0","0","0","0.96","0","0"
"2018-01-07","3","발전량","850.8","0","0","0","0","0","0","0","112.44","282.48","58.2","62.88","62.04","63.36","66.84","64.68","33.12","0","0","0","0","0","1044.00","0"
"2018-01-08","1","발전량","0","0","0","0","0","0","0","0","41.28","298.08","96.72","89.52","97.2","95.52","93.6","68.64","2.16","0","0","0","0","45.6","2373.60","0"
"2018-01-08","2","발전량","0","0","0","0","0","0","0","0","14.496","119.04","48.48","45.504","49.056","47.424","46.944","28.128","1.056","0","0","0","0","0","888","0"
"2018-01-08","3","발전량","0","0","0","0","0","0","0","0","13.32","138.72","66.84","59.04","63.6","63","60.6","33.84","0.24","0","0","0","0","0","982.8","0"
"2018-01-09","1","발전량","0","0","0","0","0","0","0","0","103.92","540.48","88.08","84.48","87.12","95.28","96.48","98.64","270.72","8.88","0","0","0","45.6","2944.80","892.8"
"2018-01-09","2","발전량","0","0","0","0","0","0","0","0","46.464","279.648","44.16","39.744","47.136","47.616","46.56","47.232","170.784","8.16","0","0","0","1.92","991.68","664.32"
"2018-01-09","3","발전량","0","0","0","0","0","0","0","0","66","339.24","59.4","51.36","57.12","61.32","60.84","62.28","188.4","5.16","0","0","0","0","1179.60","913.2"
"2018-01-10","1","발전량","0","0","0","0","0","0","0","0","0","46.8","77.28","87.36","97.92","96","93.84","289.2","129.6","0","0","0","0","45.6","1130.40","0"
"2018-01-10","2","발전량","0","0","0","0","0","0","0","0","0","37.632","46.464","45.984","39.456","32.832","217.248","45.12","225.024","4.512","0","0","0","10.56","992.64","991.68"
