"년월일","호기","구분","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2020-01-01","1","발전량","0","0","0","0","0","0","0","0","0","16.858","25.498","152.102","171.226","153.178","82.522","82.637","19.814","0","0","0","0","0","0","0"
"2020-01-01","2","발전량","0","0","0","0","0","0","0","0","4.821","32.783","25.069","151.381","179.343","141.739","71.352","67.495","26.034","0","0","0","0","0","0","0"
"2020-01-02","1","발전량","0","0","0","0","0","0","0","0","0","14.938","26.381","55.066","51.072","62.63","49.882","15.437","0","0","0","0","0","0","0","0"
"2020-01-02","2","발전량","0","0","0","0","0","0","0","0","0.964","19.284","31.819","46.282","74.244","80.029","57.853","23.141","3.857","0","0","0","0","0","0","0"
"2020-01-03","1","발전량","0","0","0","0","0","0","0","0","31.219","180.25","359.232","561.178","627.072","542.208","380.198","234.931","86.784","0","0","0","0","0","0","0"
"2020-01-03","2","발전량","0","0","0","0","0","0","0","0","52.067","217.912","394.362","418.467","507.175","535.137","434.859","276.728","85.815","3.857","0","0","0","0","0","0"
"2020-01-04","1","발전량","0","0","0","0","0","0","0","0","14.362","177.024","309.773","535.334","593.779","563.789","408.806","264.346","92.045","0","0","0","0","0","0","0"
"2020-01-04","2","발전량","0","0","0","0","0","0","0","0","17.356","199.592","355.794","470.535","501.389","515.853","492.712","304.691","86.779","3.857","0","0","0","0","0","0"
"2020-01-05","1","발전량","0","0","0","0","0","0","0","0","20.621","221.53","413.99","582.874","512.371","452.621","264.154","154.291","52.301","0","0","0","0","0","0","0"
"2020-01-05","2","발전량","0","0","0","0","0","0","0","0","63.638","304.691","511.996","574.669","513.924","454.143","243.945","154.274","59.781","0.964","0","0","0","0","0","0"
"2020-01-06","1","발전량","0","0","0","0","0","0","0","0","0","21.658","36.595","106.214","63.859","39.667","26.342","16.704","0","0","0","0","0","0","0","0"
"2020-01-06","2","발전량","0","0","0","0","0","0","0","0","4.821","29.891","51.103","161.023","79.065","53.996","36.64","25.069","3.857","0","0","0","0","0","0","0"
"2020-01-07","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-01-07","2","발전량","0","0","0","0","0","0","0","0","2.893","15.427","16.392","23.141","26.034","29.891","6.749","0.964","0","0","0","0","0","0","0","0"
"2020-01-08","1","발전량","0","0","0","0","0","0","0","0","0","12.787","54.106","60.058","69.542","87.053","78.912","21.158","0","0","0","0","0","0","0","0"
"2020-01-08","2","발전량","0","0","0","0","0","0","0","0","0","30.855","118.598","132.097","127.276","114.741","103.171","36.64","3.857","0","0","0","0","0","0","0"
"2020-01-09","1","발전량","0","0","0","0","0","0","0","0","31.258","129.408","307.507","475.008","532.454","494.746","399.398","235.584","95.885","0","0","0","0","0","0","0"
"2020-01-09","2","발전량","0","0","0","0","0","0","0","0","31.819","166.808","408.825","464.749","536.101","486.926","430.038","298.905","111.848","5.785","0","0","0","0","0","0"
"2020-01-10","1","발전량","0","0","0","0","0","0","0","0","38.63","194.65","324.019","520.166","610.253","578.726","448.704","261.888","107.866","0","0","0","0","0","0","0"
"2020-01-10","2","발전량","0","0","0","0","0","0","0","0","61.709","270.943","401.112","492.712","625.773","593.954","358.686","308.547","109.92","4.821","0","0","0","0","0","0"
"2020-01-11","1","발전량","0","0","0","0","0","0","0","0","34.522","173.568","286.195","395.328","601.075","588.48","407.04","248.41","86.323","0","0","0","0","0","0","0"
"2020-01-11","2","발전량","0","0","0","0","0","0","0","0","54.96","175.486","193.806","375.078","378.935","524.531","458","318.189","95.457","11.571","0","0","0","0","0","0"
"2020-01-12","1","발전량","0","0","0","0","0","0","0","0","27.878","111.398","226.522","378.586","441.101","397.862","292.147","145.651","78.758","0","0","0","0","0","0","0"
"2020-01-12","2","발전량","0","0","0","0","0","0","0","0","34.712","104.135","260.337","302.762","484.998","562.135","439.68","233.339","99.314","10.606","0","0","0","0","0","0"
"2020-01-13","1","발전량","0","0","0","0","0","0","0","0","20.467","157.978","357.773","452.237","535.104","472.858","364.07","233.818","96.691","0","0","0","0","0","0","0"
"2020-01-13","2","발전량","0","0","0","0","0","0","0","0","32.783","287.335","473.427","578.526","591.061","565.027","540.922","408.825","129.204","9.642","0","0","0","0","0","0"
"2020-01-14","1","발전량","0","0","0","0","0","0","0","0","10.022","50.227","197.222","254.784","288","309.696","308.045","211.699","88.397","0","0","0","0","0","0","0"
"2020-01-14","2","발전량","0","0","0","0","0","0","0","0","18.32","90.636","320.118","381.827","292.156","346.152","436.787","334.581","121.491","9.642","0","0","0","0","0","0"
"2020-01-15","1","발전량","0","0","0","0","0","0","0","0","21.581","174.797","350.4","482.957","509.107","451.507","350.822","225.254","95.578","0","0","0","0","0","0","0"
"2020-01-15","2","발전량","0","0","0","0","0","0","0","0","71.352","326.867","543.815","642.164","665.305","546.707","499.461","348.08","132.097","11.571","0","0","0","0","0","0"
"2020-01-16","1","발전량","0","0","0","0","0","0","0","0","14.477","147.034","287.386","407.002","513.101","413.722","302.17","236.045","46.733","0","0","0","0","0","0","0"
"2020-01-16","2","발전량","0","0","0","0","0","0","0","0","30.855","259.373","461.857","536.101","720.265","594.918","439.68","380.863","69.423","6.749","0","0","0","0","0","0"
"2020-01-17","1","발전량","0","0","0","0","0","0","0","0","19.238","105.562","278.17","363.034","383.923","366.259","324.787","197.338","77.837","0","0","0","0","0","0","0"
"2020-01-17","2","발전량","0","0","0","0","0","0","0","0","37.604","194.771","415.575","521.638","524.531","506.211","472.463","304.691","111.848","12.535","0","0","0","0","0","0"
"2020-01-18","1","발전량","0","0","0","0","0","0","0","0","24.845","180.864","369.946","487.642","520.512","466.522","363.456","259.354","113.165","0","0","0","0","0","0","0"
"2020-01-18","2","발전량","0","0","0","0","0","0","0","0","72.316","332.653","551.528","664.341","663.377","581.419","547.672","375.078","161.987","12.535","0","0","0","0","0","0"
"2020-01-19","1","발전량","0","0","0","0","0","0","0","0","13.248","91.085","178.944","240.23","155.482","297.408","269.222","192.691","67.891","0","0","0","0","0","0","0"
"2020-01-19","2","발전량","0","0","0","0","0","0","0","0","24.105","160.059","308.547","372.185","323.011","357.722","388.577","217.912","102.206","9.642","0","0","0","0","0","0"
"2020-01-20","1","발전량","0","0","0","0","0","0","0","0","23.885","174.874","370.829","446.054","447.014","153.139","181.709","170.304","117.466","0","0","0","0","0","0","0"
"2020-01-20","2","발전량","0","0","0","0","0","0","0","0","55.924","266.122","541.886","613.238","573.705","56.888","39.533","67.495","89.672","14.463","0","0","0","0","0","0"
"2020-01-21","1","발전량","0","0","0","0","0","0","0","0","25.958","187.853","374.362","353.587","492.787","464.87","375.936","272.794","116.352","0","0","0","0","0","0","0"
"2020-01-21","2","발전량","0","0","0","0","0","0","0","0","83.886","356.758","564.063","495.604","712.552","728.943","536.101","343.259","185.128","12.535","0","0","0","0","0","0"
"2020-01-22","1","발전량","0","0","0","0","0","0","0","0","0","20.582","59.059","96.73","191.462","84.634","311.155","235.354","73.805","0","0","0","0","0","0","0"
"2020-01-22","2","발전량","0","0","0","0","0","0","0","0","1.928","37.604","5.785","88.707","282.514","654.699","522.602","317.225","102.206","3.857","0","0","0","0","0","0"
"2020-01-23","1","발전량","0","0","0","0","0","0","0","0","16.09","138.586","329.242","418.176","449.472","423.475","345.446","214.118","86.208","0","0","0","0","0","0","0"
"2020-01-23","2","발전량","0","0","0","0","0","0","0","0","41.461","250.695","494.64","603.596","586.24","570.813","503.318","332.653","141.739","11.571","0","0","0","0","0","0"
"2020-01-24","1","발전량","0","0","0","0","0","0","0","0","30.912","175.718","354.662","417.715","420.365","428.774","328.358","233.318","77.645","10.099","0","0","0","0","0","0"
"2020-01-24","2","발전량","0","0","0","0","0","0","0","0.964","73.28","320.118","530.316","598.775","598.775","556.349","477.284","354.829","123.419","16.392","0","0","0","0","0","0"
"2020-01-25","1","발전량","0","0","0","0","0","0","0","0","29.606","170.918","336.883","285.619","210.01","162.931","183.782","118.272","57.216","0","0","0","0","0","0","0"
"2020-01-25","2","발전량","0","0","0","0","0","0","0","0","53.996","288.299","491.747","397.255","292.156","229.482","230.446","164.88","83.886","10.606","0","0","0","0","0","0"
"2020-01-26","1","발전량","0","0","0","0","0","0","0","0","22.618","165.35","346.483","435.84","490.56","423.552","350.784","208.934","71.77","0","0","0","0","0","0","0"
"2020-01-26","2","발전량","0","0","0","0","0","0","0","0","46.282","292.156","511.996","637.343","691.339","638.307","556.349","298.905","112.813","9.642","0","0","0","0","0","0"
"2020-01-27","1","발전량","0","0","0","0","0","0","0","0","0","28.838","43.968","61.018","43.43","42.509","34.944","26.611","0","0","0","0","0","0","0","0"
"2020-01-27","2","발전량","0","0","0","0","0","0","0","0","13.499","50.139","71.352","94.493","69.423","71.352","65.566","46.282","14.463","0.964","0","0","0","0","0","0"
"2020-01-28","1","발전량","0","0","0","0","0","0","0","0","0","59.52","129.024","210.125","344.947","263.04","245.299","137.318","49.958","0","0","0","0","0","0","0"
"2020-01-28","2","발전량","0","0","0","0","0","0","0","0","16.392","100.278","200.556","319.154","518.745","448.358","572.741","293.12","115.705","10.606","0","0","0","0","0","0"
