"년월일","호기","구분","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2017-01-01","1","발전량","0","0","0","0","0","0","0","0","186.66","637.74","967.5","1072.62","1177.92","1074.06","924.12","585.18","170.64","2.52","0","0","0","0","0","0"
"2017-01-02","1","발전량","0","0","0","0","0","0","0","0","135.54","205.56","51.12","221.94","387","520.02","900","632.16","194.76","1.8","0","0","0","0","0","0"
"2017-01-03","1","발전량","0","0","0","0","0","0","0","0","195.3","665.28","1019.88","1217.16","1286.28","1236.42","1067.22","733.32","273.78","6.12","0","0","0","0","0","0"
"2017-01-04","1","발전량","0","0","0","0","0","0","0","0","65.34","459.72","959.94","1130.58","1244.16","1219.86","1008.54","693.72","249.12","1.62","0","0","0","0","0","0"
"2017-01-05","1","발전량","0","0","0","0","0","0","0","0","69.84","199.44","565.56","633.42","454.86","258.66","175.86","115.38","86.94","0.18","0","0","0","0","0","0"
"2017-01-06","1","발전량","0","0","0","0","0","0","0","0","15.66","144.36","250.92","284.04","339.3","373.32","613.8","757.44","313.92","10.08","0","0","0","0","0","0"
"2017-01-07","1","발전량","0","0","0","0","0","0","0","0","66.78","463.68","786.42","995.4","959.04","1117.26","788.22","340.2","99.54","0.36","0","0","0","0","0","0"
"2017-01-08","1","발전량","0","0","0","0","0","0","0","0","14.94","231.12","356.4","620.1","1035.54","822.42","290.16","561.42","83.34","0","0","0","0","0","0","0"
"2017-01-09","1","발전량","0","0","0","0","0","0","0","0","6.3","70.56","281.34","911.7","1190.52","1231.20","1054.80","688.5","266.94","12.96","0","0","0","0","0","0"
"2017-01-10","1","발전량","0","0","0","0","0","0","0","0","207","712.26","1049.22","1243.62","1341.90","1118.88","621.18","563.4","196.56","6.66","0","0","0","0","0","0"
"2017-01-11","1","발전량","0","0","0","0","0","0","0","0","228.96","726.66","1082.70","1287.18","1367.10","1310.04","1151.46","826.38","320.76","5.22","0","0","0","0","0","0"
"2017-01-12","1","발전량","0","0","0","0","0","0","0","0","0","2.34","20.88","151.92","964.98","1005.48","630.9","360","264.96","13.68","0","0","0","0","0","0"
"2017-01-13","1","발전량","0","0","0","0","0","0","0","0","194.76","526.14","470.16","213.3","292.68","398.52","513.54","823.68","259.74","9.72","0","0","0","0","0","0"
