구분,일시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
당진매립장태양광,2017-07-01,0,0,0,0,0,0,24,86,147,161,509,546,372,257,107,70,15,2,0,0,0,0,0,0
당진매립장태양광,2017-07-02,0,0,0,0,0,0,0,48,99,129,210,243,72,80,170,155,39,7,0,0,0,0,0,0
당진매립장태양광,2017-07-03,0,0,0,0,0,0,1,47,83,288,397,273,409,84,21,91,150,118,0,0,0,0,0,0
당진매립장태양광,2017-07-04,0,0,0,0,0,0,24,75,170,436,553,698,713,717,684,543,397,240,103,12,0,0,0,0
당진매립장태양광,2017-07-05,0,0,0,0,0,0,28,103,172,285,448,607,653,648,645,573,454,276,94,6,0,0,0,0
당진매립장태양광,2017-07-06,0,0,0,0,0,0,36,174,257,352,578,684,593,516,22,464,349,102,129,4,0,0,0,0
당진매립장태양광,2017-07-07,0,0,0,0,0,0,26,75,142,218,191,378,208,164,168,84,131,36,15,0,0,0,0,0
당진매립장태양광,2017-07-08,0,0,0,0,0,0,0,12,0,44,355,381,400,351,195,244,121,26,5,0,0,0,0,0
당진매립장태양광,2017-07-09,0,0,0,0,0,0,18,95,308,378,508,576,523,618,422,270,183,245,41,0,0,0,0,0
당진매립장태양광,2017-07-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,59,81,31,0,0,0,0,0,0
당진매립장태양광,2017-07-11,0,0,0,0,0,0,16,84,163,293,459,641,643,690,404,211,93,39,4,0,0,0,0,0
당진매립장태양광,2017-07-12,0,0,0,0,0,0,0,26,63,104,284,355,469,618,667,571,395,271,106,9,0,0,0,0
당진매립장태양광,2017-07-13,0,0,0,0,0,0,41,158,226,383,399,636,649,597,614,551,416,256,87,1,0,0,0,0
당진매립장태양광,2017-07-14,0,0,0,0,0,0,42,167,331,465,581,502,709,584,562,447,114,67,64,1,0,0,0,0
당진매립장태양광,2017-07-15,0,0,0,0,0,0,25,38,93,69,37,184,471,492,268,181,113,79,28,0,0,0,0,0
당진매립장태양광,2017-07-16,0,0,0,0,0,0,1,68,43,130,303,200,57,68,48,60,71,62,12,0,0,0,0,0
당진매립장태양광,2017-07-17,0,0,0,0,0,0,4,41,98,161,190,108,10,34,131,214,154,95,16,0,0,0,0,0
당진매립장태양광,2017-07-18,0,0,0,0,0,0,0,21,92,173,325,567,552,504,576,376,422,264,101,6,0,0,0,0
당진매립장태양광,2017-07-19,0,0,0,0,0,0,4,91,259,468,553,487,536,628,590,518,408,181,72,1,0,0,0,0
당진매립장태양광,2017-07-20,0,0,0,0,0,0,43,164,327,479,576,545,498,684,648,547,342,227,90,3,0,0,0,0
당진매립장태양광,2017-07-21,0,0,0,0,0,0,24,143,249,320,326,431,667,542,486,279,380,227,22,0,0,0,0,0
당진매립장태양광,2017-07-22,0,0,0,0,0,0,9,31,103,130,297,513,734,736,615,465,420,285,65,1,0,0,0,0
당진매립장태양광,2017-07-23,0,0,0,0,0,0,0,0,0,0,30,203,551,326,208,165,177,30,9,0,0,0,0,0
당진매립장태양광,2017-07-24,0,0,0,0,0,0,17,65,88,89,31,39,50,0,3,147,192,89,0,0,0,0,0,0
당진매립장태양광,2017-07-25,0,0,0,0,0,0,14,181,361,530,614,701,718,714,664,571,428,254,87,1,0,0,0,0
당진매립장태양광,2017-07-26,0,0,0,0,0,0,36,178,375,562,641,550,758,577,626,515,445,180,71,0,0,0,0,0
당진매립장태양광,2017-07-27,0,0,0,0,0,0,59,139,329,560,342,406,392,588,442,217,94,46,14,0,0,0,0,0
당진매립장태양광,2017-07-28,0,0,0,0,0,0,0,16,65,166,160,170,147,272,63,29,140,116,38,0,0,0,0,0
당진매립장태양광,2017-07-29,0,0,0,0,0,0,0,2,95,132,184,208,442,473,390,351,202,60,15,0,0,0,0,0
당진매립장태양광,2017-07-30,0,0,0,0,0,0,17,131,322,452,488,554,669,704,509,303,387,227,84,1,0,0,0,0
당진매립장태양광,2017-07-31,0,0,0,0,0,0,0,0,0,0,13,84,189,154,143,72,65,39,12,0,0,0,0,0
당진매립장태양광,2017-08-01,0,0,0,0,0,0,0,0,64,275,443,645,719,678,629,562,445,281,94,2,0,0,0,0
당진매립장태양광,2017-08-02,0,0,0,0,0,0,29,129,334,520,654,675,717,638,561,558,430,231,86,4,0,0,0,0
당진매립장태양광,2017-08-03,0,0,0,0,0,0,39,162,359,544,656,732,708,750,650,451,201,264,61,0,0,0,0,0
당진매립장태양광,2017-08-04,0,0,0,0,0,0,33,158,337,417,618,697,597,667,602,552,399,224,61,1,0,0,0,0
당진매립장태양광,2017-08-05,0,0,0,0,0,0,24,151,318,424,530,654,666,663,638,534,396,212,34,0,0,0,0,0
당진매립장태양광,2017-08-06,0,0,0,0,0,0,0,60,88,217,18,63,174,497,579,531,376,191,75,0,0,0,0,0
당진매립장태양광,2017-08-07,0,0,0,0,0,0,29,160,315,399,601,660,690,690,627,522,403,184,63,1,0,0,0,0
당진매립장태양광,2017-08-08,0,0,0,0,0,0,12,134,290,392,427,443,484,568,422,229,176,98,27,0,0,0,0,0
당진매립장태양광,2017-08-09,0,0,0,0,0,0,0,60,176,185,172,268,348,200,485,381,159,187,110,3,0,0,0,0
당진매립장태양광,2017-08-10,0,0,0,0,0,0,2,12,145,243,386,471,467,586,661,558,389,225,58,0,0,0,0,0
당진매립장태양광,2017-08-11,0,0,0,0,0,0,0,6,30,108,139,187,310,231,507,441,351,183,55,0,0,0,0,0
당진매립장태양광,2017-08-12,0,0,0,0,0,0,17,144,328,502,504,649,571,257,512,260,301,202,62,0,0,0,0,0
당진매립장태양광,2017-08-13,0,0,0,0,0,0,20,123,229,327,292,293,253,241,189,188,190,41,1,0,0,0,0,0
당진매립장태양광,2017-08-14,0,0,0,0,0,0,0,10,96,71,169,209,140,100,129,84,35,4,0,0,0,0,0,0
당진매립장태양광,2017-08-15,0,0,0,0,0,0,0,14,76,84,83,131,133,194,112,93,39,2,0,0,0,0,0,0
당진매립장태양광,2017-08-16,0,0,0,0,0,0,22,99,240,219,217,73,181,244,108,133,29,158,26,0,0,0,0,0
당진매립장태양광,2017-08-17,0,0,0,0,0,0,0,36,232,439,368,127,520,458,394,500,399,221,42,0,0,0,0,0
당진매립장태양광,2017-08-18,0,0,0,0,0,0,27,58,111,224,345,573,125,219,512,437,233,169,50,0,0,0,0,0
당진매립장태양광,2017-08-19,0,0,0,0,0,0,17,70,159,264,277,405,281,372,211,167,92,46,4,0,0,0,0,0
당진매립장태양광,2017-08-20,0,0,0,0,0,0,0,0,24,93,131,207,323,377,102,59,97,58,5,0,0,0,0,0
당진매립장태양광,2017-08-21,0,0,0,0,0,0,17,84,141,139,334,187,317,600,220,299,351,155,13,0,0,0,0,0
당진매립장태양광,2017-08-22,0,0,0,0,0,0,0,133,316,505,430,545,701,597,584,509,370,182,15,0,0,0,0,0
당진매립장태양광,2017-08-23,0,0,0,0,0,0,0,40,188,354,343,453,468,575,424,301,247,100,23,0,0,0,0,0
당진매립장태양광,2017-08-24,0,0,0,0,0,0,4,103,187,336,431,344,307,179,32,0,0,17,16,0,0,0,0,0
당진매립장태양광,2017-08-25,0,0,0,0,0,0,16,109,263,433,530,655,675,588,497,423,284,136,57,0,0,0,0,0
당진매립장태양광,2017-08-26,0,0,0,0,0,0,9,136,327,506,614,676,676,702,650,543,332,174,27,0,0,0,0,0
