"발전소명","동해태양광(1MW)","당진태양광(1MW)","당진매립지태양광(1.3MW)","당진자재창고태양광(0.7MW)","당진수상태양광(1MW)","울산태양광(0.5MW)","광양항태양광(2.3MW)","황금물류센터태양광(1.1MW)","수원환경사업소태양광(1.5MW)","당진옥내저탄장태양광(3.4MW)","동해하수종말처리장태양광(2.4MW)","울산#4CC건물옥상태양광(0.4MW)","당진제2회처리장태양광(3.5MW)"
"2014-01-01","1779","2848","1562","1691","2127","1636","4512","","","","","",""
"2014-01-02","2464","3800","1661","2299","2829","1562","3423","","","","","",""
"2014-01-03","1103","2189","1253","1379","1931","987","3866","","","","","",""
"2014-01-04","8","3834","1580","2262","2879","1351","4601","","","","","",""
"2014-01-05","11","3022","1416","1810","2490","1318","4999","","","","","",""
"2014-01-06","196","2875","1469","1758","2397","1608","4578","","","","","",""
"2014-01-07","384","959","850","637","1004","1496","4060","","","","","",""
"2014-01-08","773","1907","1009","1047","1734","103","1226","","","","","",""
"2014-01-09","2522","3983","1788","2240","3334","2093","6092","","","","","",""
"2014-01-10","2447","1856","979","1150","1687","1855","5405","","","","","",""
"2014-01-11","2062","1792","882","1093","1645","1628","4886","","","","","",""
"2014-01-12","1127","2124","1102","1446","1796","1193","3593","","","","","",""
"2014-01-13","2575","4599","1851","2806","3444","2049","5671","","","","","",""
"2014-01-14","2576","3537","1577","2159","2791","2043","5773","","","","","",""
"2014-01-15","2562","3599","1592","2186","2848","2023","5455","","","","","",""
"2014-01-16","2129","1739","988","1105","1668","1872","5476","","","","","",""
"2014-01-17","1897","2136","1260","1355","1955","1502","4369","","","","","",""
"2014-01-18","1748","3953","1817","2584","3059","1627","3912","","","","","",""
"2014-01-19","2529","2917","1559","1802","2442","1885","5579","","","","","",""
"2014-01-20","1409","1110","574","666","1070","1155","3137","","","","","",""
"2014-01-21","661","480","256","367","558","1854","3554","","","","","",""
"2014-01-22","0","4331","2640","2640","3339","2013","5268","","","","","",""
"2014-01-23","0","2795","2378","1705","2344","1876","5050","","","","","",""
"2014-01-24","59","1245","1449","806","1213","1669","3686","","","","","",""
"2014-01-25","341","368","312","242","460","528","1446","","","","","",""
"2014-01-26","0","5131","3215","2838","4141","1904","5911","","","","","",""
"2014-01-27","370","4129","2833","2564","3430","1909","5687","","","","","",""
"2014-01-28","2555","4010","2890","2766","3483","1634","3954","","","","","",""
"2014-01-29","2807","3319","2694","2056","3098","1927","4984","","","","","",""
"2014-01-30","2009","549","409","273","604","1226","1719","","","","","",""
"2014-01-31","2523","4062","2948","2557","3501","1905","5439","","","","","",""
"2014-02-01","147","58","199","83","158","1207","5439","","","","","",""
"2014-02-02","2895","479","719","364","583","1854","5220","","","","","",""
"2014-02-03","872","2897","2441","1866","2690","1090","3545","","","","","",""
"2014-02-04","3397","4889","3695","3032","4510","2385","6697","","","","","",""
"2014-02-05","2933","3995","3076","2512","3500","1626","3831","","","","","",""
"2014-02-06","2100","3958","2880","2556","3403","682","3314","","","","","",""
"2014-02-07","36","2642","2546","1731","2633","292","2394","","","","","",""
"2014-02-08","8","514","760","388","598","380","2294","","","","","",""
"2014-02-09","0","1943","2376","966","2109","1266","5812","","","","","",""
"2014-02-10","0","3418","1410","2575","3567","40","3565","","","","","",""
"2014-02-11","0","5158","3869","3227","4508","31","6429","","","","","",""
"2014-02-12","11","4166","3384","2517","3888","142","6614","","","","","",""
"2014-02-13","0","3462","2794","2223","3415","414","4948","","","","","",""
"2014-02-14","0","3917","3344","2456","3621","208","4431","","","","","",""
"2014-02-15","0","4897","3696","3141","4331","2095","6877","","","","","",""
"2014-02-16","0","2558","2509","1693","2575","1945","5310","","","","","",""
"2014-02-17","0","2329","2367","1574","2388","580","1350","","","","","",""
"2014-02-18","0","2255","2690","1523","2316","313","3925","","","","","",""
"2014-02-19","12","3844","3405","1446","3711","109","6921","","","","","",""
"2014-02-20","20","4176","3068","1534","3814","1673","6949","","","","","",""
"2014-02-21","31","5013","4104","1814","4547","2070","7241","","","","","",""
"2014-02-22","42","3398","241","1275","3338","1970","6751","","","","","",""
"2014-02-23","129","3398","241","1275","3338","1940","6113","","","","","",""
"2014-02-24","552","3278","1922","1228","3211","1840","6012","","","","","",""
"2014-02-25","2259","3715","1649","1284","3545","1803","5334","","","","","",""
"2014-02-26","2165","3389","1967","1269","3359","251","865","","","","","",""
"2014-02-27","2405","3288","2167","1305","3364","1470","7529","","","","","",""
"2014-02-28","288","0","0","0","0","283","2586","","","","","",""
"2014-03-01","894","1955","1408","804","2136","319","1266","","","","","",""
"2014-03-02","1221","5352","3153","2079","5106","1561","7520","","","","","",""
"2014-03-03","3592","4587","2597","1732","4409","2332","7987","","","","","",""
"2014-03-04","2442","3609","2010","1383","3516","1255","3219","","","","","",""
"2014-03-05","734","5542","3288","2178","5244","2317","8341","","","","","",""
"2014-03-06","3580","4903","2887","1868","4560","2328","6948","","","","","",""
"2014-03-07","4028","5470","3218","2088","4757","2735","8593","","","","","",""
"2014-03-08","3129","4012","2535","1530","3950","2343","6556","","","","","",""
"2014-03-09","1732","5148","2890","2059","4632","1637","5599","","","","","",""
"2014-03-10","4165","6120","3496","2295","5063","2721","8658","","","","","",""
"2014-03-11","2404","4973","2962","1881","4621","2329","7642","","","","","",""
"2014-03-12","1226","294","466","170","456","326","384","","","","","",""
"2014-03-13","959","1727","975","721","1844","259","1697","","","","","",""
"2014-03-14","3510","5300","3106","2001","4966","1632","5140","","","","","",""
"2014-03-15","4067","5268","3165","1987","4559","2565","8431","","","","","",""
"2014-03-16","3794","4405","2724","1678","4254","2140","8105","","","","","",""
"2014-03-17","4053","2919","2344","1144","2776","2594","6315","","","","","",""
"2014-03-18","2324","4356","2371","1759","4239","2000","7425","","","","","",""
"2014-03-19","1438","1106","729","457","1199","1059","3367","","","","","",""
"2014-03-20","1041","5468","3056","2024","4704","781","6287","","","","","",""
"2014-03-21","2827","6033","3733","2324","5120","2236","8499","","","","","",""
"2014-03-22","4497","5443","3364","2085","5015","2700","8792","","","","","",""
"2014-03-23","4293","4983","3115","1873","4757","2532","8424","","","","","",""
"2014-03-24","3237","4035","2994","1648","3180","2393","8226","","","","","",""
"2014-03-25","3671","1231","961","544","1320","607","418","","","","","",""
"2014-03-26","2541","4388","2555","1703","4052","693","3798","","","","","",""
"2014-03-27","4179","3688","2584","1475","3804","1529","7867","","","","","",""
"2014-03-28","3781","3781","3116","1774","4062","2396","7465","","","","","",""
"2014-03-29","1900","962","878","406","1066","263","320","","","","","",""
"2014-03-30","3434","5725","3673","2241","4967","1325","9862","","","","","",""
"2014-03-31","3894","4344","1723","0","4424","1771","7241","","","","","",""
"2014-04-01","4363","5207","3325","2046","4624","2532","9211","","7946","","","",""
"2014-04-02","2818","5394","3607","2133","4769","2674","8835","","8536","","","",""
"2014-04-03","651","1132","1283","476","1229","1802","6678","","2574","","","",""
"2014-04-04","2646","5890","3936","2288","5003","2669","10312","","8725","","","",""
"2014-04-05","2692","562","2302","252","598","1778","8875","","7752","","","",""
