기준일자,지역,발전소,발전량(KWh)
2016-01-01,일산,수원환경사업소태양광,2370
2016-01-01,당진,당진자재창고태양광,1320
2016-01-01,호남,황금물류센터태양광,3476
2016-01-01,호남,광양항태양광,4116
2016-01-01,울산,울산태양광,1772
2016-01-01,당진,당진매립장태양광,1791
2016-01-01,동해,동해태양광,2321
2016-01-01,당진,당진취수로태양광,1809
2016-01-01,당진,당진태양광,1477
2016-01-02,당진,당진태양광,1685
2016-01-02,당진,당진취수로태양광,1917
2016-01-02,당진,당진자재창고태양광,1446
2016-01-02,동해,동해태양광,2198
2016-01-02,일산,수원환경사업소태양광,2885
2016-01-02,울산,울산태양광,973
2016-01-02,당진,당진매립장태양광,1818
2016-01-02,호남,황금물류센터태양광,2030
2016-01-02,호남,광양항태양광,2976
2016-01-03,동해,동해태양광,1949
2016-01-03,당진,당진매립장태양광,1676
2016-01-03,당진,당진취수로태양광,1665
2016-01-03,일산,수원환경사업소태양광,1851
2016-01-03,호남,광양항태양광,4208
2016-01-03,당진,당진태양광,1501
2016-01-03,호남,황금물류센터태양광,3377
2016-01-03,울산,울산태양광,1380
2016-01-03,당진,당진자재창고태양광,843
2016-01-04,일산,수원환경사업소태양광,4865
2016-01-04,당진,당진태양광,2620
2016-01-04,당진,당진매립장태양광,2460
2016-01-04,동해,동해태양광,1783
2016-01-04,당진,당진취수로태양광,2666
2016-01-04,호남,광양항태양광,4134
2016-01-04,호남,황금물류센터태양광,3436
2016-01-04,울산,울산태양광,1366
2016-01-04,당진,당진자재창고태양광,2240
2016-01-05,당진,당진태양광,2079
2016-01-05,당진,당진매립장태양광,2021
2016-01-05,당진,당진취수로태양광,2261
2016-01-05,동해,동해태양광,1812
2016-01-05,울산,울산태양광,234
2016-01-05,일산,수원환경사업소태양광,4317
2016-01-05,당진,당진자재창고태양광,1837
2016-01-05,호남,광양항태양광,1108
2016-01-05,호남,황금물류센터태양광,703
2016-01-06,동해,동해태양광,2060
2016-01-06,호남,광양항태양광,3913
2016-01-06,호남,황금물류센터태양광,3098
2016-01-06,울산,울산태양광,1465
2016-01-06,일산,수원환경사업소태양광,2224
2016-01-06,당진,당진취수로태양광,915
2016-01-06,당진,당진자재창고태양광,585
2016-01-06,당진,당진태양광,650
2016-01-06,당진,당진매립장태양광,1228
2016-01-07,호남,황금물류센터태양광,3867
2016-01-07,일산,수원환경사업소태양광,6123
2016-01-07,동해,동해태양광,2392
2016-01-07,당진,당진태양광,2585
2016-01-07,울산,울산태양광,1808
2016-01-07,호남,광양항태양광,4618
2016-01-07,당진,당진매립장태양광,2354
2016-01-07,당진,당진자재창고태양광,2215
2016-01-07,당진,당진취수로태양광,2626
2016-01-08,당진,당진매립장태양광,2489
2016-01-08,호남,광양항태양광,4352
2016-01-08,당진,당진자재창고태양광,2246
2016-01-08,당진,당진태양광,2704
2016-01-08,호남,황금물류센터태양광,3620
2016-01-08,울산,울산태양광,1876
2016-01-08,일산,수원환경사업소태양광,6122
2016-01-08,당진,당진취수로태양광,2779
2016-01-08,동해,동해태양광,2483
2016-01-09,일산,수원환경사업소태양광,4487
2016-01-09,울산,울산태양광,1763
2016-01-09,당진,당진태양광,1562
2016-01-09,당진,당진자재창고태양광,1504
2016-01-09,호남,황금물류센터태양광,4087
2016-01-09,당진,당진매립장태양광,2063
2016-01-09,호남,광양항태양광,4563
2016-01-09,당진,당진취수로태양광,1833
2016-01-09,동해,동해태양광,2463
2016-01-10,당진,당진태양광,1968
2016-01-10,일산,수원환경사업소태양광,4648
2016-01-10,당진,당진자재창고태양광,1742
2016-01-10,울산,울산태양광,1550
2016-01-10,호남,황금물류센터태양광,4206
2016-01-10,당진,당진매립장태양광,1929
2016-01-10,당진,당진취수로태양광,2071
2016-01-10,동해,동해태양광,2308
2016-01-10,호남,광양항태양광,4439
2016-01-11,호남,황금물류센터태양광,3440
2016-01-11,호남,광양항태양광,3910
2016-01-11,당진,당진자재창고태양광,1913
2016-01-11,동해,동해태양광,2460
2016-01-11,당진,당진태양광,2657
2016-01-11,당진,당진취수로태양광,2793
2016-01-11,당진,당진매립장태양광,2617
2016-01-11,일산,수원환경사업소태양광,6027
2016-01-11,울산,울산태양광,1663
2016-01-12,호남,황금물류센터태양광,4538
2016-01-12,당진,당진매립장태양광,2678
2016-01-12,당진,당진취수로태양광,3117
2016-01-12,동해,동해태양광,2486
2016-01-12,당진,당진자재창고태양광,2665
2016-01-12,호남,광양항태양광,4763
2016-01-12,일산,수원환경사업소태양광,6350
2016-01-12,울산,울산태양광,1798
2016-01-12,당진,당진태양광,3038
2016-01-13,호남,황금물류센터태양광,3070
2016-01-13,당진,당진태양광,845
2016-01-13,울산,울산태양광,1903
2016-01-13,당진,당진매립장태양광,741
2016-01-13,당진,당진자재창고태양광,743
2016-01-13,일산,수원환경사업소태양광,3771
2016-01-13,호남,광양항태양광,3492
